new_name;labels;cp20l_EN_1.0p.dta;cp19k_EN_1.0p.dta;cp18j_EN_1.0p.dta;cp17i_EN_1.0p.dta;cp15h_EN_1.0p.dta;cp14g_EN_1.0p.dta;cp13f_EN_1.0p.dta;cp12e_1.0p_EN.dta;cp11d_1.0p_EN.dta;cp10c_1.0p_EN.dta;cp09b_1.0p_EN.dta;cp08a_1p_EN.dta
panas_strong;Indicate to what extent you feel, right now, that is, at the present moment stro;cp20l150;cp19k150;cp18j150;cp17i150;cp15h150;cp14g150;cp13f150;cp12e150;cp11d150;cp10c150;cp09b150;cp08a150
panas_guilty;Indicate to what extent you feel, right now, that is, at the present moment guil;cp20l151;cp19k151;cp18j151;cp17i151;cp15h151;cp14g151;cp13f151;cp12e151;cp11d151;cp10c151;cp09b151;cp08a151
panas_scared;Indicate to what extent you feel, right now, that is, at the present moment scar;cp20l152;cp19k152;cp18j152;cp17i152;cp15h152;cp14g152;cp13f152;cp12e152;cp11d152;cp10c152;cp09b152;cp08a152
panas_hostile;Indicate to what extent you feel, right now, that is, at the present moment host;cp20l153;cp19k153;cp18j153;cp17i153;cp15h153;cp14g153;cp13f153;cp12e153;cp11d153;cp10c153;cp09b153;cp08a153
panas_enthusiastic;Indicate to what extent you feel, right now, that is, at the present moment enth;cp20l154;cp19k154;cp18j154;cp17i154;cp15h154;cp14g154;cp13f154;cp12e154;cp11d154;cp10c154;cp09b154;cp08a154
panas_proud;Indicate to what extent you feel, right now, that is, at the present moment prou;cp20l155;cp19k155;cp18j155;cp17i155;cp15h155;cp14g155;cp13f155;cp12e155;cp11d155;cp10c155;cp09b155;cp08a155
panas_irritable;Indicate to what extent you feel, right now, that is, at the present moment irri;cp20l156;cp19k156;cp18j156;cp17i156;cp15h156;cp14g156;cp13f156;cp12e156;cp11d156;cp10c156;cp09b156;cp08a156
panas_alert;Indicate to what extent you feel, right now, that is, at the present moment aler;cp20l157;cp19k157;cp18j157;cp17i157;cp15h157;cp14g157;cp13f157;cp12e157;cp11d157;cp10c157;cp09b157;cp08a157
panas_ashamed;Indicate to what extent you feel, right now, that is, at the present moment asha;cp20l158;cp19k158;cp18j158;cp17i158;cp15h158;cp14g158;cp13f158;cp12e158;cp11d158;cp10c158;cp09b158;cp08a158
panas_inspired;Indicate to what extent you feel, right now, that is, at the present moment insp;cp20l159;cp19k159;cp18j159;cp17i159;cp15h159;cp14g159;cp13f159;cp12e159;cp11d159;cp10c159;cp09b159;cp08a159
panas_nervous;Indicate to what extent you feel, right now, that is, at the present moment nerv;cp20l160;cp19k160;cp18j160;cp17i160;cp15h160;cp14g160;cp13f160;cp12e160;cp11d160;cp10c160;cp09b160;cp08a160
panas_determined;Indicate to what extent you feel, right now, that is, at the present moment dete;cp20l161;cp19k161;cp18j161;cp17i161;cp15h161;cp14g161;cp13f161;cp12e161;cp11d161;cp10c161;cp09b161;cp08a161
panas_attentive;Indicate to what extent you feel, right now, that is, at the present moment atte;cp20l162;cp19k162;cp18j162;cp17i162;cp15h162;cp14g162;cp13f162;cp12e162;cp11d162;cp10c162;cp09b162;cp08a162
panas_jittery;Indicate to what extent you feel, right now, that is, at the present moment jitt;cp20l163;cp19k163;cp18j163;cp17i163;cp15h163;cp14g163;cp13f163;cp12e163;cp11d163;cp10c163;cp09b163;cp08a163
panas_active;Indicate to what extent you feel, right now, that is, at the present moment acti;cp20l164;cp19k164;cp18j164;cp17i164;cp15h164;cp14g164;cp13f164;cp12e164;cp11d164;cp10c164;cp09b164;cp08a164
panas_afraid;Indicate to what extent you feel, right now, that is, at the present moment afra;cp20l165;cp19k165;cp18j165;cp17i165;cp15h165;cp14g165;cp13f165;cp12e165;cp11d165;cp10c165;cp09b165;cp08a165
nfc_complexproblems;I would prefer complex to simple problems;;;cp18j166;cp17i166;cp15h166;cp14g166;cp13f166;cp12e166;cp11d166;cp10c166;cp09b166;cp08a166
nfc_lotofthinking;I like to have the responsibility of handling a situation that requires a lot of;;;cp18j167;cp17i167;cp15h167;cp14g167;cp13f167;cp12e167;cp11d167;cp10c167;cp09b167;cp08a167
nfc_thinkingnotfun;Thinking is not my idea of fun;;;cp18j168;cp17i168;cp15h168;cp14g168;cp13f168;cp12e168;cp11d168;cp10c168;cp09b168;cp08a168
nfc_littlethought;I would rather do something that requires little thought than something that is;;;cp18j169;cp17i169;cp15h169;cp14g169;cp13f169;cp12e169;cp11d169;cp10c169;cp09b169;cp08a169
nfc_avoidchallenges;I try to anticipate and avoid situations where there is likely chance that I wil;;;cp18j170;cp17i170;cp15h170;cp14g170;cp13f170;cp12e170;cp11d170;cp10c170;cp09b170;cp08a170
nfc_deliberating;I find satisfaction in deliberating hard and for long hours;;;cp18j171;cp17i171;cp15h171;cp14g171;cp13f171;cp12e171;cp11d171;cp10c171;cp09b171;cp08a171
nfc_bareminimum;I only think as hard as I have to;;;cp18j172;cp17i172;cp15h172;cp14g172;cp13f172;cp12e172;cp11d172;cp10c172;cp09b172;cp08a172
nfc_shortterm;I prefer to think about small, daily projects to long-term ones;;;cp18j173;cp17i173;cp15h173;cp14g173;cp13f173;cp12e173;cp11d173;cp10c173;cp09b173;cp08a173
nfc_easytasks;I like tasks that require little thought once Ive learned them;;;cp18j174;cp17i174;cp15h174;cp14g174;cp13f174;cp12e174;cp11d174;cp10c174;cp09b174;cp08a174
nfc_relyingonthought;The idea of relying on thought to make my way to the top appeals to me;;;cp18j175;cp17i175;cp15h175;cp14g175;cp13f175;cp12e175;cp11d175;cp10c175;cp09b175;cp08a175
nfc_newsolutions;I really enjoy a task that involves coming up with new solutions to problems;;;cp18j176;cp17i176;cp15h176;cp14g176;cp13f176;cp12e176;cp11d176;cp10c176;cp09b176;cp08a176
nfc_noexcitement;Learning new ways to think doesnt excite me very much;;;cp18j177;cp17i177;cp15h177;cp14g177;cp13f177;cp12e177;cp11d177;cp10c177;cp09b177;cp08a177
nfc_puzzles;I prefer my life to be filled with puzzles that I must solve;;;cp18j178;cp17i178;cp15h178;cp14g178;cp13f178;cp12e178;cp11d178;cp10c178;cp09b178;cp08a178
nfc_abstraction;The notion of thinking abstractly is appealing to me;;;cp18j179;cp17i179;cp15h179;cp14g179;cp13f179;cp12e179;cp11d179;cp10c179;cp09b179;cp08a179
nfc_intellectual;I would prefer a task that is intellectual, difficult and important to one that;;;cp18j180;cp17i180;cp15h180;cp14g180;cp13f180;cp12e180;cp11d180;cp10c180;cp09b180;cp08a180
nfc_relief;I feel relief rather than satisfaction after completing a task that required a l;;;cp18j181;cp17i181;cp15h181;cp14g181;cp13f181;cp12e181;cp11d181;cp10c181;cp09b181;cp08a181
nfc_pragmatic;"Its enough for me that somthing gets the job done; I dont care how or why it w";;;cp18j182;cp17i182;cp15h182;cp14g182;cp13f182;cp12e182;cp11d182;cp10c182;cp09b182;cp08a182
nfc_nonpersonal;I usually end up deliberating issues even when they do not affect me personally;;;cp18j183;cp17i183;cp15h183;cp14g183;cp13f183;cp12e183;cp11d183;cp10c183;cp09b183;cp08a183
questionnaire_difficult;Was it difficult to answer the questions?;cp20l184;cp19k184;cp18j184;cp17i184;cp15h184;cp14g184;cp13f184;cp12e184;cp11d184;cp10c184;cp09b184;cp08a184
questionnaire_clear;Were the questions sufficiently clear?;cp20l185;cp19k185;cp18j185;cp17i185;cp15h185;cp14g185;cp13f185;cp12e185;cp11d185;cp10c185;cp09b185;cp08a185
questionnaire_thinking;Did the questionnaire get you thinking about things?;cp20l186;cp19k186;cp18j186;cp17i186;cp15h186;cp14g186;cp13f186;cp12e186;cp11d186;cp10c186;cp09b186;cp08a186
questionnaire_interesting;Was it an interesting subject?;cp20l187;cp19k187;cp18j187;cp17i187;cp15h187;cp14g187;cp13f187;cp12e187;cp11d187;cp10c187;cp09b187;cp08a187
questionnaire_enjoy;Did you enjoy answering the questions?;cp20l188;cp19k188;cp18j188;cp17i188;cp15h188;cp14g188;cp13f188;cp12e188;cp11d188;cp10c188;cp09b188;cp08a188
start_date;Starting date of the questionnaire;cp20l189;cp19k189;cp18j189;cp17i189;cp15h189;cp14g189;cp13f189;cp12e189;cp11d189;cp10c189;cp09b189;cp08a189
start_time;Starting time of the questionnaire;cp20l190;cp19k190;cp18j190;cp17i190;cp15h190;cp14g190;cp13f190;cp12e190;cp11d190;cp10c190;cp09b190;cp08a190
end_date;End date of the questionnaire;cp20l191;cp19k191;cp18j191;cp17i191;cp15h191;cp14g191;cp13f191;cp12e191;cp11d191;cp10c191;cp09b191;cp08a191
end_time;End time of the questionnaire;cp20l192;cp19k192;cp18j192;cp17i192;cp15h192;cp14g192;cp13f192;cp12e192;cp11d192;cp10c192;cp09b192;cp08a192
duration;Duration in seconds;cp20l193;cp19k193;cp18j193;cp17i193;cp15h193;cp14g193;cp13f193;cp12e193;cp11d193;cp10c193;cp09b193;cp08a193
date_fieldwork;Year and month of fieldwork period;cp20l_m;cp19k_m;cp18j_m;cp17i_m;cp15h_m;cp14g_m;cp13f_m;cp12e_m;cp11d_m;cp10c_m;cp09b_m;cp08a_m
hh_id;Number of household encrypted;;;;;;;;;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr
personal_id;Number of household member encrypted;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr
ios_liss_panel;And to what extent do you feel connected to the LISS panel?;;;cp18j194;cp17i194;cp15h194;cp14g194;cp13f194;cp12e194;cp11d194;cp10c194;cp09b194;
;Were panel members presented with the long or short version of the questionnaire;;;;;;;;;;cp10c195;;
;Did panel members participate in the video experiment.;;;;;;;;;cp11d196;;;
;What version of the questionnaire did the respondent fill out?;;;cp18j197;;cp15h197;;;cp12e197;;;;
lot_r_expectbest;In uncertain times, I usually expect the best.;cp20l198;cp19k198;cp18j198;cp17i198;cp15h198;cp14g198;cp13f198;cp12e198;;;;
lot_r_relax;It's easy for me to relax.;cp20l199;cp19k199;cp18j199;cp17i199;cp15h199;cp14g199;cp13f199;cp12e199;;;;
lot_r_pessimistic_future;If something can go wrong for me, it will.;cp20l200;cp19k200;cp18j200;cp17i200;cp15h200;cp14g200;cp13f200;cp12e200;;;;
lot_r_optimistic_future;I'm always optimistic about my future.;cp20l201;cp19k201;cp18j201;cp17i201;cp15h201;cp14g201;cp13f201;cp12e201;;;;
lot_r_friends;I enjoy my friends a lot.;cp20l202;cp19k202;cp18j202;cp17i202;cp15h202;cp14g202;cp13f202;cp12e202;;;;
lot_r_keepbusy;It's important for me to keep busy.;cp20l203;cp19k203;cp18j203;cp17i203;cp15h203;cp14g203;cp13f203;cp12e203;;;;
lot_r_hardlyoptimistic;I hardly ever expect things to go my way.;cp20l204;cp19k204;cp18j204;cp17i204;cp15h204;cp14g204;cp13f204;cp12e204;;;;
lot_r_notupset;I don't get upset too easily.;cp20l205;cp19k205;cp18j205;cp17i205;cp15h205;cp14g205;cp13f205;cp12e205;;;;
lot_r_pessimistic_events;I rarely count on good things happening to me.;cp20l206;cp19k206;cp18j206;cp17i206;cp15h206;cp14g206;cp13f206;cp12e206;;;;
lot_r_optimistic_events;Overall, I expect more good things to happen to me than bad.;cp20l207;cp19k207;cp18j207;cp17i207;cp15h207;cp14g207;cp13f207;cp12e207;;;;
;Did the respondent answer the IOS scale twice?;;;;;;;cp13f208;;;;;
;Which version of the IOS scale was presented to the respondent?;;;;;;;cp13f209;;;;;
;Start position in new version IOS;;;;;;;cp13f210;;;;;
;Please indicate to what extent you generally feel connected to other people.;;;;;;;cp13f211;;;;;
;And to what extent do you feel connected to the LISS panel?;;;;;;;cp13f212;;;;;
;The rating scale with circles below is used to assess the degree to which people;;;;;;;cp13f213;;;;;
;And to what extent do you feel connected to the LISS panel?;;;;;;;cp13f214;;;;;
;Please indicate to what extent you generally feel connected to other people.;;;;;;;cp13f215;;;;;
;And to what extent do you feel connected to the LISS panel?;;;;;;;cp13f216;;;;;
optimism;;;;;;;;;;;;;
pessimism;;;;;;;;;;;;;
social_desirability;;;;;;;;;;;;;
extraversion;;;;;;;;;;;;;
agreeableness;;;;;;;;;;;;;
conscientiousness;;;;;;;;;;;;;
neuroticism;;;;;;;;;;;;;
openness;;;;;;;;;;;;;
