new_name;categories_english;group_english;label_english;nice_name_english;ordered;topic_english;type
exp_postpone_house;4 totally disagree, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 totally agree;Consumption Plans Next 12 Months;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Postpone house purchase;Delay House;True;Economic Expectations;Categorical
gov_action_approp;totally disagree, disagree, neither/nore, agree, totally agree;Skip;I think the government's action is appropriate;;True;Skip;Categorical
gov_action_insuff;totally disagree, disagree, neither/nore, agree, totally agree;Skip;I think the measures taken are insufficient;;True;Skip;Categorical
save_banks;totally disagree, disagree, neither/nore, agree, totally agree;Skip;The government must be prepared to save banks;;True;Skip;Categorical
help_pension_funds;totally disagree, disagree, neither/nore, agree, totally agree;Skip;Pension funds need to be helped.;;True;Skip;Categorical
personal_id;;Skip;personal identifier;;;Skip;float
p_employed_keep;;Employment;I will keep my job because my employer / company is not financially affected by the corona virus or is financially healthy enough to continue to pay wages;Healthy Job;;Economic Expectations;int
p_employed_keep_gov;;Employment;I will keep my job because the government provides help to my employer / company (eg by paying wages);Job With Help;;Economic Expectations;int
p_employed_lost;;Employment;I will have lost my job or the number of hours will have been reduced to 0 indefinitely (e.g., forced unpaid leave, I am paid per hour in a restaurant ...);No Income;;Economic Expectations;int
p_employed_other;;Employment;Something else is happening;Other;;Economic Expectations;int
;;;;;;;
note_survey;;questionnaire;Would you like to comment on the coronavirus outbreak? For example about things that you find important and about which we have not asked questions, or about which you would like to provide more information?;;;questionnaire;str
questionnaire_difficult;;questionnaire;Was it difficult to answer the questions?;;;questionnaire;float
questionnaire_clear;;questionnaire;Were the questions sufficiently clear?;;;questionnaire;float
questionnaire_thinking;;questionnaire;Did the questionnaire get you thinking about things?;;;questionnaire;float
questionnaire_interesting;;questionnaire;Was it an interesting subject?;;;questionnaire;float
questionnaire_enjoy;;questionnaire;Did you enjoy answering the questions?;;;questionnaire;float
start_date;20-03-2020, 21-03-2020, 22-03-2020, 23-03-2020, 24-03-2020, 25-03-2020, 26-03-2020, 27-03-2020;questionnaire;date of questionnaire start;;TRUE;questionnaire;Categorical
start_time;;questionnaire;time of questionnaire start;;;questionnaire;str
end_date;20-03-2020, 21-03-2020, 22-03-2020, 23-03-2020, 24-03-2020, 25-03-2020, 26-03-2020, 27-03-2020;questionnaire;date of questionnaire end;;TRUE;questionnaire;Categorical
end_time;;questionnaire;time of questionnaire end ;;;questionnaire;str
duration;;questionnaire;time it took to fill the questionnaire in seconds;;;questionnaire;float
hh_id;;background;Household number;;;background;float
hh_position;Household head, Wedded partner, Child living at home, Unwedded partner, Parent (in law), Housemate, Family member or boarder;background;;;FALSE;background;Categorical
birth_year;;background;birth year;;;background;float
age;;background;Age ;;;background;float
hh_members;;background;Number of Household Members.;;;background;float
hh_children;;background;number of all children living in the household;;;background;int
hhh_partner;;background;do you live with a married or unmarried partner;;;background;bool
civil_status;Never been married, Married, Divorced, Widow or widower, Separated;background;Marital status;;FALSE;background;Categorical
dom_situation;Single, (Un)married co-habitation, with child(ren), (Un)married co-habitation, without child(ren), Single, with child(ren), Other;background;What is your domestic situation? ;;FALSE;background;Categorical
dwelling_type;Self-owned dwelling, Rental dwelling, Cost-free dwelling;background;;;FALSE;background;Categorical
location_urban;Not urban, Slightly urban, Moderately urban, Very urban, Extremely urban;background;;;TRUE;background;Categorical
occupation;Paid employment, Is pensioner ([voluntary] early retirement or old age pension scheme), Autonomous professional freelancer or self-employed, Takes care of the housekeeping, Has (partial) work disability, Attends school or is studying, First-time job seeker, Does something else, Performs voluntary work;background;;;FALSE;background;Categorical
net_income_hh;;background;Net income household;;;background;float
gross_income_hh;;background;Gross income household;;;background;float
education_cbs;primary school, vmbo (intermediate secondary education US: junior high school), havo/vwo (higher secondary education/preparatory university education US: senio, mbo (intermediate vocational education US: junior college), hbo (higher vocational education US: college), wo (university), other, Not (yet) completed any education, Not yet started any education*;background;education in CBS categories;;TRUE;background;Categorical
edu;"""lower_secondary_and_lower"", ""upper_secondary"", ""tertiary""";background;Education;;TRUE;background;Categorical
edu_4;"""primary"", ""lower_secondary"", ""upper_secondary"", ""tertiary""";background;Education;;TRUE;background;Categorical
gender;male, female;background;Gender;;FALSE;background;Categorical
female;;background;Female;;;background;bool
net_income;;background;Individual net income;;;background;float
gross_income;;background;Individual gross income;;;background;float
;;;;;;;
;;;;;;;
;;;;;;;
cc_number;;;Economic Adjustments;childcare;Number of different arrangements that families use!;;float
cc_nuclear_family;;;Economic Adjustments;childcare;Indicator making use of nuclear family;;bool
cc_family;;;Economic Adjustments;childcare;Indicator making use of family;;bool
work_h_before;;;;;Total hours worked before;;float
work_h_after;;;;;Total hours worked after;;float
