new_name;labels;ci20m_EN_1.0p.dta;ci19l_EN_1.0p.dta;ci18k_EN_1.0p.dta;ci17j_EN_1.0p.dta;ci16i_EN_1.0p.dta;ci15h_EN_1.0p.dta;ci14g_1.0p_EN.dta;ci13f_1.1p_EN.dta;ci13f_1.0p_EN.dta;ci12e_1.0p_EN.dta;ci11d_EN_1.0p.dta;ci10c_EN_1.0p.dta;ci09b_EN_1.1p.dta;ci08a_1.0p_EN.dta;type;categories_english;ordered
benefit_orp_pens_gross_amt;How much is the total gross amount that you received in 2015 as orphan's pension;ci20m117;ci19l117;ci18k117;ci17j117;ci16i117;ci15h117;ci14g117;ci13f117;ci13f117;ci12e117;ci11d117;ci10c117;ci09b117;ci08a117;int;;
benefit_orp_pens_gross_cat;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m118;ci19l118;ci18k118;ci17j118;ci16i118;ci15h118;ci14g118;ci13f118;ci13f118;ci12e118;ci11d118;ci10c118;ci09b118;ci08a118;category;;
benefit_orp_pens_net_amt;How much is the net amount that you received in 2015 as orphan's pension (throug;;;ci18k119;ci17j119;ci16i119;ci15h119;ci14g119;ci13f119;ci13f119;ci12e119;ci11d119;ci10c119;ci09b119;ci08a119;int;;
benefit_wbb_gross_amt;How much is the total gross amount that you received in 2009 as WWB (preferably;;;;;;;ci14g342;ci13f342;ci13f342;ci12e342;ci11d342;ci10c120;ci09b120;ci08a120;int;;
benefit_wbb_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;ci14g343;ci13f343;ci13f343;ci12e343;ci11d343;ci10c121;ci09b121;ci08a121;category;;
benefit_wbb_net_amt;How much is the net amount that you received in 2009 as WWB?;ci20m344;ci19l344;ci18k344;ci17j344;ci16i344;ci15h344;ci14g344;ci13f344;ci13f344;ci12e344;ci11d344;ci10c122;ci09b122;ci08a122;int;;
benefit_self_emp_gross_amt;How much is the total gross amount that you received in 2013 through the bijstan;;;;;;;ci14g123;ci13f123;ci13f123;ci12e123;ci11d123;ci10c123;ci09b123;ci08a123;int;;
benefit_self_emp_gross_cat;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;ci14g369;ci13f124;ci13f124;ci12e124;ci11d124;ci10c124;ci09b124;ci08a124;category;;
primary_occupation;Primary occupation;ci20m383;ci19l369;;;;;;;;;;;;;category;Paid employment|Works or assists in family business|Autonomous professional, freelancer, or self-employed|Job seeker following job loss|First-time job seeker|Exempted from job seeking following job loss|Attends school or is studying|Takes care of the housekeeping|Is pensioner ([voluntary] early retirement, old age pension scheme)|Has (partial) work disability|Performs unpaid work while retaining unemployment benefit|Performs voluntary work|Does something else|Is too young to have an occupation;True
benefit_self_empl_net_amt;How much is the net amount that you received in 2015 through the bijstandsbeslui;ci20m125;ci19l125;ci18k125;ci17j125;ci16i125;ci15h125;ci14g125;ci13f125;ci13f125;ci12e125;ci11d125;ci10c125;ci09b125;ci08a125;int;;
benefit_ioaw_gross_amt;How much is the total gross amount that you received in 2013 through the IOAW/IO;;;;;;;ci14g126;ci13f126;ci13f126;ci12e126;ci11d126;ci10c126;ci09b126;ci08a126;int;;
benefit_ioaw_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;ci14g127;ci13f127;ci13f127;ci12e127;ci11d127;ci10c127;ci09b127;ci08a127;category;;
benefit_ioaw_net_amt;How much is the net amount that you received in 2015 through the IOAW/IOAZ?;ci20m128;ci19l128;ci18k128;ci17j128;ci16i128;ci15h128;ci14g128;ci13f128;ci13f128;ci12e128;ci11d128;ci10c128;ci09b128;ci08a128;int;;
benefit_wao_iva_wga_gross_amt;How much is the total gross amount that you received in 2015 as WAO, IVA or WGA;ci20m129;ci19l129;ci18k129;ci17j129;ci16i129;ci15h129;ci14g129;ci13f129;ci13f129;ci12e129;ci11d129;ci10c129;ci09b129;ci08a129;int;;
benefit_waoivawg_gross_cat;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m130;ci19l130;ci18k130;ci17j130;ci16i130;ci15h130;ci14g130;ci13f130;ci13f130;ci12e130;ci11d130;ci10c130;ci09b130;ci08a130;category;;
benefit_waoivawg_net_amt;How much is the net amount that you received in 2015 as WAO, IVA or WGA?;;;ci18k131;ci17j131;ci16i131;ci15h131;ci14g131;ci13f131;ci13f131;ci12e131;ci11d131;ci10c131;ci09b131;ci08a131;int;;
benefit_wga_gross_amt;How much is the total gross amount that you received in 2011 as WGA (preferably;;;;;;;;;;ci12e132;ci11d132;ci10c132;ci09b132;ci08a132;int;;
benefit_wga_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;;;;ci12e133;ci11d133;ci10c133;ci09b133;ci08a133;category;;
benefit_wga_net_amt;How much is the net amount that you received in 2011 as WGA?;;;;;;;;;;ci12e134;ci11d134;ci10c134;ci09b134;ci08a134;int;;
benefit_inval_gross_amt;How much is the total gross amount that you received in 2015 as invalidity pensi;ci20m135;ci19l135;ci18k135;ci17j135;ci16i135;ci15h135;ci14g135;ci13f135;ci13f135;ci12e135;ci11d135;ci10c135;ci09b135;ci08a135;int;;
benefit_inval_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m136;ci19l136;ci18k136;ci17j136;ci16i136;ci15h136;ci14g136;ci13f136;ci13f136;ci12e136;ci11d136;ci10c136;ci09b136;ci08a136;category;;
benefit_inval_net_amt;How much is the net amount that you received in 2015 as invalidity pension (thro;;;ci18k137;ci17j137;ci16i137;ci15h137;ci14g137;ci13f137;ci13f137;ci12e137;ci11d137;ci10c137;ci09b137;ci08a137;int;;
benefit_akw_net_amt;How much is the net amount that you received in 2015 as kinderbijslag?;ci20m140;ci19l140;ci18k140;ci17j140;ci16i140;ci15h140;ci14g140;ci13f140;ci13f140;ci12e140;ci11d140;ci10c140;ci09b140;ci08a140;int;;
benefit_healthcare_net_amt;How much is the net amount that you received in 2015 as zorgtoeslag?;ci20m143;ci19l143;ci18k143;ci17j143;ci16i143;ci15h143;ci14g143;ci13f143;ci13f143;ci12e143;ci11d143;ci10c143;ci09b143;ci08a143;int;;
income_received_real_estate;Which of the sources of income listed below did you receive in 2015? - income th;ci20m144;ci19l144;ci18k144;ci17j144;ci16i144;ci15h144;ci14g144;ci13f144;ci13f144;ci12e144;ci11d144;ci10c144;ci09b144;ci08a144;bool;;
income_received_house_own_grant;Which of the sources of income listed below did you receive in 2015? - house own;;ci19l145;ci18k145;ci17j145;ci16i145;ci15h145;ci14g145;ci13f145;ci13f145;ci12e145;ci11d145;ci10c145;ci09b145;ci08a145;bool;;
income_received_student_grant;Which of the sources of income listed below did you receive in 2015? - student g;ci20m146;ci19l146;ci18k146;ci17j146;ci16i146;ci15h146;ci14g146;ci13f146;ci13f146;ci12e146;ci11d146;ci10c146;ci09b146;ci08a146;bool;;
income_received_student_loan;Which of the sources of income listed below did you receive in 2015? - student l;ci20m147;ci19l147;ci18k147;ci17j147;ci16i147;ci15h147;ci14g147;ci13f147;ci13f147;ci12e147;ci11d147;ci10c147;ci09b147;ci08a147;bool;;
income_received_alimony_spouse;Which of the sources of income listed below did you receive in 2015? - alimony f;ci20m148;ci19l148;ci18k148;ci17j148;ci16i148;ci15h148;ci14g148;ci13f148;ci13f148;ci12e148;ci11d148;ci10c148;ci09b148;ci08a148;bool;;
income_received_alimony_child;Which of the sources of income listed below did you receive in 2015? - alimony f;ci20m149;ci19l149;ci18k149;ci17j149;ci16i149;ci15h149;ci14g149;ci13f149;ci13f149;ci12e149;ci11d149;ci10c149;ci09b149;ci08a149;bool;;
income_received_study_allow_par;Which of the sources of income listed below did you receive in 2015? - study all;ci20m150;ci19l150;ci18k150;ci17j150;ci16i150;ci15h150;ci14g150;ci13f150;ci13f150;ci12e150;ci11d150;ci10c150;ci09b150;ci08a150;bool;;
income_received_study_allow_fam;Which of the sources of income listed below did you receive in 2015? - allowance;ci20m151;ci19l151;ci18k151;ci17j151;ci16i151;ci15h151;ci14g151;ci13f151;ci13f151;ci12e151;ci11d151;ci10c151;ci09b151;ci08a151;bool;;
income_received_div_sf;Which of the sources of income listed below did you receive in 2015? - income th;ci20m152;ci19l152;ci18k152;ci17j152;ci16i152;ci15h152;ci14g152;ci13f152;ci13f152;ci12e152;ci11d152;ci10c152;ci09b152;ci08a152;bool;;
income_received_int_saving_acc;Which of the sources of income listed below did you receive in 2015? - interest;ci20m153;ci19l153;ci18k153;ci17j153;ci16i153;ci15h153;ci14g153;ci13f153;ci13f153;ci12e153;ci11d153;ci10c153;ci09b153;ci08a153;bool;;
income_received_none;Which of the sources of income listed below did you receive in 2015? - none of t;ci20m154;ci19l154;ci18k154;ci17j154;ci16i154;ci15h154;ci14g154;ci13f154;ci13f154;ci12e154;ci11d154;ci10c154;ci09b154;ci08a154;bool;;
income_real_estate_amt;What amount of income did you receive in total in 2015 from real estate (includi;ci20m155;ci19l155;ci18k155;ci17j155;ci16i155;ci15h155;ci14g155;ci13f155;ci13f155;ci12e155;ci11d155;ci10c155;ci09b155;ci08a155;int;;
income_real_estate_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m156;ci19l156;ci18k156;ci17j156;ci16i156;ci15h156;ci14g156;ci13f156;ci13f156;ci12e156;ci11d156;ci10c156;ci09b156;ci08a156;category;;
income_house_ownership_amt;What amount of income did you receive in total in 2015 through the house ownersh;;ci19l157;ci18k157;ci17j157;ci16i157;ci15h157;ci14g157;ci13f157;ci13f157;ci12e157;ci11d157;ci10c157;ci09b157;ci08a157;int;;
income_house_ownership_cat;Can you indicate, then, to what category the gross amount belongs that you recei;;ci19l158;ci18k158;ci17j158;ci16i158;ci15h158;ci14g158;ci13f158;ci13f158;ci12e158;ci11d158;ci10c158;ci09b158;ci08a158;category;;
income_student_grant_amt;What amount of income did you receive in total in 2015 through student grant or;ci20m159;ci19l159;ci18k159;ci17j159;ci16i159;ci15h159;ci14g159;ci13f159;ci13f159;ci12e159;ci11d159;ci10c159;ci09b159;ci08a159;int;;
income_student_grant_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m160;ci19l160;ci18k160;ci17j160;ci16i160;ci15h160;ci14g160;ci13f160;ci13f160;ci12e160;ci11d160;ci10c160;ci09b160;ci08a160;category;;
income_student_loan_amt;What amount of income did you receive in total in 2015 through a student loan?;ci20m161;ci19l161;ci18k161;ci17j161;ci16i161;ci15h161;ci14g161;ci13f161;ci13f161;ci12e161;ci11d161;ci10c161;ci09b161;ci08a161;int;;
income_student_loan_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m162;ci19l162;ci18k162;ci17j162;ci16i162;ci15h162;ci14g162;ci13f162;ci13f162;ci12e162;ci11d162;ci10c162;ci09b162;ci08a162;category;;
income_alimony_spouse_amt;What amount of income did you receive in total in 2015 as alimony from your ex-s;ci20m163;ci19l163;ci18k163;ci17j163;ci16i163;ci15h163;ci14g163;ci13f163;ci13f163;ci12e163;ci11d163;ci10c163;ci09b163;ci08a163;int;;
income_alimony_spouse_amt_cat;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m164;ci19l164;ci18k164;ci17j164;ci16i164;ci15h164;ci14g164;ci13f164;ci13f164;ci12e164;ci11d164;ci10c164;ci09b164;ci08a164;category;;
income_alimony_child_amt;What amount of income did you receive in total in 2015 as alimony for your child;ci20m165;ci19l165;ci18k165;ci17j165;ci16i165;ci15h165;ci14g165;ci13f165;ci13f165;ci12e165;ci11d165;ci10c165;ci09b165;ci08a165;int;;
income_alimony_child_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m166;ci19l166;ci18k166;ci17j166;ci16i166;ci15h166;ci14g166;ci13f166;ci13f166;ci12e166;ci11d166;ci10c166;ci09b166;ci08a166;category;;
income_study_allow_par_amt;What amount of income did you receive in total in 2015 as a study allowance from;ci20m167;ci19l167;ci18k167;ci17j167;ci16i167;ci15h167;ci14g167;ci13f167;ci13f167;ci12e167;ci11d167;ci10c167;ci09b167;ci08a167;int;;
income_study_allow_par_cat;Can you indicate, then, to what category the amount belongs that you received in;ci20m168;ci19l168;ci18k168;ci17j168;ci16i168;ci15h168;ci14g168;ci13f168;ci13f168;ci12e168;ci11d168;ci10c168;ci09b168;ci08a168;category;;
income_allow_fam_amt;What amount of income did you receive in total in 2015 as allowances from family;ci20m169;ci19l169;ci18k169;ci17j169;ci16i169;ci15h169;ci14g169;ci13f169;ci13f169;ci12e169;ci11d169;ci10c169;ci09b169;ci08a169;int;;
income_allow_fam_amt_categ;Can you indicate, then, to what category the amount belongs that you received in;ci20m170;ci19l170;ci18k170;ci17j170;ci16i170;ci15h170;ci14g170;ci13f170;ci13f170;ci12e170;ci11d170;ci10c170;ci09b170;ci08a170;category;;
income_dividends_amt;What amount of income did you receive in total in 2015 through share dividends,;ci20m171;ci19l171;ci18k171;ci17j171;ci16i171;ci15h171;ci14g171;ci13f171;ci13f171;ci12e171;ci11d171;ci10c171;ci09b171;ci08a171;int;;
income_dividends_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m172;ci19l172;ci18k172;ci17j172;ci16i172;ci15h172;ci14g172;ci13f172;ci13f172;ci12e172;ci11d172;ci10c172;ci09b172;ci08a172;category;;
income_interest_amt;What amount of income did you receive in total in 2015 through interest from sav;ci20m173;ci19l173;ci18k173;ci17j173;ci16i173;ci15h173;ci14g173;ci13f173;ci13f173;ci12e173;ci11d173;ci10c173;ci09b173;ci08a173;int;;
income_interest_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m174;ci19l174;ci18k174;ci17j174;ci16i174;ci15h174;ci14g174;ci13f174;ci13f174;ci12e174;ci11d174;ci10c174;ci09b174;ci08a174;category;;
gift_received;Did you receive one or more legacies and/or gifts in 2015?;ci20m175;ci19l175;ci18k175;ci17j175;ci16i175;ci15h175;ci14g175;ci13f175;ci13f175;ci12e175;ci11d175;ci10c175;ci09b175;ci08a175;bool;;
gift_amt;What was the total amount of those legacies or gifts in 2015?;ci20m176;ci19l176;ci18k176;ci17j176;ci16i176;ci15h176;ci14g176;ci13f176;ci13f176;ci12e176;ci11d176;ci10c176;ci09b176;ci08a176;int;;
has_income_received_other;Did you have any other forms of income in 2015 (aside from, possibly, rent benef;ci20m177;ci19l177;ci18k177;ci17j177;ci16i177;ci15h177;ci14g177;ci13f177;ci13f177;ci12e177;ci11d177;ci10c177;ci09b177;ci08a177;bool;;
income_received_other_work;What forms of income does this concern? - income from former work;;;ci18k178;ci17j178;ci16i178;ci15h178;ci14g178;ci13f178;ci13f178;ci12e178;ci11d178;ci10c178;ci09b178;ci08a178;bool;;
income_received_pocket_money;What forms of income does this concern? - clothing money / pocket money;;;ci18k179;ci17j179;ci16i179;ci15h179;ci14g179;ci13f179;ci13f179;ci12e179;ci11d179;ci10c179;ci09b179;ci08a179;bool;;
income_received_lottery;What forms of income does this concern? - prices in a lottery;;;ci18k180;ci17j180;ci16i180;ci15h180;ci14g180;ci13f180;ci13f180;ci12e180;ci11d180;ci10c180;ci09b180;ci08a180;bool;;
income_received_exp_renum;What forms of income does this concern? - expenses remuneration;;;ci18k181;ci17j181;ci16i181;ci15h181;ci14g181;ci13f181;ci13f181;ci12e181;ci11d181;ci10c181;ci09b181;ci08a181;bool;;
income_received_sev_pay;What forms of income does this concern? - severance pay;;;ci18k182;ci17j182;ci16i182;ci15h182;ci14g182;ci13f182;ci13f182;ci12e182;ci11d182;ci10c182;ci09b182;ci08a182;bool;;
income_received_allow__repres;What forms of income does this concern? - allowance for representation;;;ci18k183;ci17j183;ci16i183;ci15h183;ci14g183;ci13f183;ci13f183;ci12e183;ci11d183;ci10c183;ci09b183;ci08a183;bool;;
income_received_royalties;What forms of income does this concern? - royalties;;;ci18k184;ci17j184;ci16i184;ci15h184;ci14g184;ci13f184;ci13f184;ci12e184;ci11d184;ci10c184;ci09b184;ci08a184;bool;;
income_received_dam_comp;What forms of income does this concern? - damages compensation;;;ci18k185;ci17j185;ci16i185;ci15h185;ci14g185;ci13f185;ci13f185;ci12e185;ci11d185;ci10c185;ci09b185;ci08a185;bool;;
income_received_trainee_comp;What forms of income does this concern? - trainee compensation;;;ci18k186;ci17j186;ci16i186;ci15h186;ci14g186;ci13f186;ci13f186;ci12e186;ci11d186;ci10c186;ci09b186;ci08a186;bool;;
income_received_tax_reimb;What forms of income does this concern? - tax or social premiums reimbursement;;;ci18k187;ci17j187;ci16i187;ci15h187;ci14g187;ci13f187;ci13f187;ci12e187;ci11d187;ci10c187;ci09b187;ci08a187;bool;;
income_received_volun_work_comp;What forms of income does this concern? - voluntary work compensation;;;ci18k188;ci17j188;ci16i188;ci15h188;ci14g188;ci13f188;ci13f188;ci12e188;ci11d188;ci10c188;ci09b188;ci08a188;bool;;
income_received_other;What forms of income does this concern? - other;;;ci18k189;ci17j189;ci16i189;ci15h189;ci14g189;ci13f189;ci13f189;ci12e189;ci11d189;ci10c189;ci09b189;ci08a189;bool;;
income_received_other_specify;What form of income do you mean with 'other'?;;;ci18k190;ci17j190;ci16i190;ci15h190;ci14g190;ci13f190;ci13f190;ci12e190;ci11d190;ci10c190;ci09b190;ci08a190;object;;
income_other_work_gross_amt;What was the gross amount of income in 2015 from former work?;;;ci18k191;ci17j191;ci16i191;ci15h191;ci14g191;ci13f191;ci13f191;ci12e191;ci11d191;ci10c191;ci09b191;ci08a191;int;;
income_pocket_money_gross_amt;What was the amount of income in 2015 from clothing money / pocket money?;;;ci18k192;ci17j192;ci16i192;ci15h192;ci14g192;ci13f192;ci13f192;ci12e192;ci11d192;ci10c192;ci09b192;ci08a192;int;;
income_lottery_gross_amt;What was the gross amount of income in 2015 from the prices in a lottery?;;;ci18k193;ci17j193;ci16i193;ci15h193;ci14g193;ci13f193;ci13f193;ci12e193;ci11d193;ci10c193;ci09b193;ci08a193;int;;
income_exp_renum_gross_amt;What was the gross amount of income in 2015 from expenses remuneration?;;;ci18k194;ci17j194;ci16i194;ci15h194;ci14g194;ci13f194;ci13f194;ci12e194;ci11d194;ci10c194;ci09b194;ci08a194;int;;
income_sev_pay_gross_amt;What was the gross amount of income in 2015 from severance pay?;;;ci18k195;ci17j195;ci16i195;ci15h195;ci14g195;ci13f195;ci13f195;ci12e195;ci11d195;ci10c195;ci09b195;ci08a195;int;;
income_allow_repres_gross_amt;What was the gross amount of income in 2015 from the allowance for representatio;;;ci18k196;ci17j196;ci16i196;ci15h196;ci14g196;ci13f196;ci13f196;ci12e196;ci11d196;ci10c196;ci09b196;ci08a196;int;;
income_royalties_gross_amt;What was the gross amount of income in 2015 from royalties?;;;ci18k197;ci17j197;ci16i197;ci15h197;ci14g197;ci13f197;ci13f197;ci12e197;ci11d197;ci10c197;ci09b197;ci08a197;int;;
income_dam_comp_gross_amt;What was the gross amount of income in 2015 from damages compensation?;;;ci18k198;ci17j198;ci16i198;ci15h198;ci14g198;ci13f198;ci13f198;ci12e198;ci11d198;ci10c198;ci09b198;ci08a198;int;;
income_trainee_comp_gross_amt;What was the gross amount of income in 2015 from trainee compensation?;;;ci18k199;ci17j199;ci16i199;ci15h199;ci14g199;ci13f199;ci13f199;ci12e199;ci11d199;ci10c199;ci09b199;ci08a199;int;;
income_tax_reimb_gross_amt;What was the amount of income in 2015 from tax or social premiums reimbursement?;;;ci18k200;ci17j200;ci16i200;ci15h200;ci14g200;ci13f200;ci13f200;ci12e200;ci11d200;ci10c200;ci09b200;ci08a200;int;;
income_vol_work_comp_gross_amt;What was the gross amount of income in 2015 from voluntary work compensation?;;;ci18k201;ci17j201;ci16i201;ci15h201;ci14g201;ci13f201;ci13f201;ci12e201;ci11d201;ci10c201;ci09b201;ci08a201;int;;
income_other_total_gross_amt;What was the total gross amount of income in 2015 from [ci16i190]?;;;ci18k202;ci17j202;ci16i202;ci15h202;ci14g202;ci13f202;ci13f202;ci12e202;ci11d202;ci10c202;ci09b202;ci08a202;int;;
pays_more_than_100eur_int_loans;Did you pay more than 100 euros in 2015 in interest on personal loans, continuou;ci20m203;ci19l203;ci18k203;ci17j203;ci16i203;ci15h203;ci14g203;ci13f203;ci13f203;ci12e203;ci11d203;ci10c203;ci09b203;ci08a203;bool;;
loan_interest_amt;How much was the interest paid on personal loans, continuous credit or other loa;ci20m204;ci19l204;ci18k204;ci17j204;ci16i204;ci15h204;ci14g204;ci13f204;ci13f204;ci12e204;ci11d204;ci10c204;ci09b204;ci08a204;int;;
pays_alimony_partner;Did you pay alimony to your ex-spouse or ex-partner in 2015? Do NOT consider ali;ci20m205;ci19l205;ci18k205;ci17j205;ci16i205;ci15h205;ci14g205;ci13f205;ci13f205;ci12e205;ci11d205;ci10c205;ci09b205;ci08a205;bool;;
alimony_partner_amt;How much was the total amount of alimony paid to your ex-spouse or ex-partner in;ci20m206;ci19l206;ci18k206;ci17j206;ci16i206;ci15h206;ci14g206;ci13f206;ci13f206;ci12e206;ci11d206;ci10c206;ci09b206;ci08a206;int;;
pays_alimony_children;Did you pay alimony to or for your child(ren) in 2015?;ci20m207;ci19l207;ci18k207;ci17j207;ci16i207;ci15h207;ci14g207;ci13f207;ci13f207;ci12e207;ci11d207;ci10c207;ci09b207;ci08a207;bool;;
alimony_children_amt;How much was the total amount of alimony paid to or for your child(ren) in 2015?;ci20m208;ci19l208;ci18k208;ci17j208;ci16i208;ci15h208;ci14g208;ci13f208;ci13f208;ci12e208;ci11d208;ci10c208;ci09b208;ci08a208;int;;
pays_children_studying;Did you provide parental financial support to children studying and living on th;ci20m209;ci19l209;ci18k209;ci17j209;ci16i209;ci15h209;ci14g209;ci13f209;ci13f209;ci12e209;ci11d209;ci10c209;ci09b209;ci08a209;bool;;
children_studying_amt;How much was the total amount of parental financial support provided to children;ci20m210;ci19l210;ci18k210;ci17j210;ci16i210;ci15h210;ci14g210;ci13f210;ci13f210;ci12e210;ci11d210;ci10c210;ci09b210;ci08a210;int;;
pays_children_living;Did you provide children living on their own (also children not studying) with a;ci20m211;ci19l211;ci18k211;ci17j211;ci16i211;ci15h211;ci14g211;ci13f211;ci13f211;ci12e211;ci11d211;ci10c211;ci09b211;ci08a211;bool;;
children_living_amt;How much was the total amount of financial support or gifts provided in 2015?;ci20m212;ci19l212;ci18k212;ci17j212;ci16i212;ci15h212;ci14g212;ci13f212;ci13f212;ci12e212;ci11d212;ci10c212;ci09b212;ci08a212;int;;
pays_gift_support_other;Did you provide financial support or financial gift to any other persons in 2015;ci20m213;ci19l213;ci18k213;ci17j213;ci16i213;ci15h213;ci14g213;ci13f213;ci13f213;ci12e213;ci11d213;ci10c213;ci09b213;ci08a213;bool;;
gift_support_other_amt;How much was the total amount of financial support or gifts provided to other pe;ci20m214;ci19l214;ci18k214;ci17j214;ci16i214;ci15h214;ci14g214;ci13f214;ci13f214;ci12e214;ci11d214;ci10c214;ci09b214;ci08a214;int;;
health_insurance_pay_time;Per what period did you pay premiums for the health insurance in 2007?;;;;;;;;;;;;;;ci08a215;category;per month|per quarter|per half year|per year;True
health_insurance_amt;How much is the health insurance premium in total (including premiums for supple;;;;;;;;;;;;;;ci08a216;int;;
health_insurance_for_myself;For whom do you pay the health insurance premiums for the basic policy? - myself;;;;;;;;;;;;;;ci08a217;bool;;
health_insurance_for_partner;For whom do you pay the health insurance premiums for the basic policy? - my par;;;;;;;;;;;;;;ci08a218;bool;;
health_insurance_for_children;For whom do you pay the health insurance premiums for the basic policy? - one or;;;;;;;;;;;;;;ci08a219;bool;;
has_company_car;Did you have a company car in 2015? It doesn't matter if the car was also used f;ci20m221;ci19l221;ci18k221;ci17j221;ci16i221;ci15h221;ci14g221;ci13f221;ci13f221;ci12e221;ci11d221;ci10c221;ci09b221;ci08a221;bool;;
company_car_purchase_value;What was the purchase value of this car? Purchase value means the retail price o;ci20m222;ci19l222;ci18k222;ci17j222;ci16i222;ci15h222;ci14g222;ci13f222;ci13f222;ci12e222;ci11d222;ci10c222;ci09b222;ci08a222;int;;
company_car_purchase_cat;Can you indicate, then, to what category the purchase value of this car belonged;ci20m223;ci19l223;ci18k223;ci17j223;ci16i223;ci15h223;ci14g223;ci13f223;ci13f223;ci12e223;ci11d223;ci10c223;ci09b223;ci08a223;category;;
company_car_nr_months;For how many months in 2015 did you have a company car? (This may concern differ;ci20m224;ci19l224;ci18k224;ci17j224;ci16i224;ci15h224;ci14g224;ci13f224;ci13f224;ci12e224;ci11d224;ci10c224;ci09b224;ci08a224;category;0|1|2|3|4|5|6|7|8|9|10|11|12;True
taxable_income_amt;How much is your taxable income (preferably as stated on the tax return form, if;ci20m337;ci19l337;ci18k337;ci17j337;ci16i337;ci15h337;ci14g337;ci13f337;ci13f337;ci12e337;ci11d337;ci10c337;ci09b225;ci08a225;int;;
taxable_income_amt_categ;Can you indicate how much your total taxable income in the three boxes (the tota;ci20m226;ci19l226;ci18k226;ci17j226;ci16i226;ci15h226;ci14g226;ci13f226;ci13f226;ci12e226;ci11d226;ci10c226;ci09b226;ci08a226;category;;
taxable_income_amt_estimated;Can you estimate your taxable income over 2008, then?;ci20m338;ci19l338;ci18k338;ci17j338;ci16i338;ci15h338;ci14g338;ci13f338;ci13f338;ci12e338;ci11d338;ci10c338;ci09b227;ci08a227;int;;
net_household_income;What was total net income of your household over the period from 1 January 2008;ci20m339;ci19l339;ci18k339;ci17j339;ci16i339;ci15h339;ci14g339;ci13f339;ci13f339;ci12e339;ci11d339;ci10c339;ci09b228;ci08a228;int;;
net_household_income_categ;Can you perhaps indicate, then, within what limits the total net income of your;ci20m229;ci19l229;ci18k229;ci17j229;ci16i229;ci15h229;ci14g229;ci13f229;ci13f229;ci12e229;ci11d229;ci10c229;ci09b229;ci08a229;category;;
net_income_per_month_wld_vbad;For your household, in your current circumstances, what amount of net income per;;;ci18k230;ci17j230;ci16i230;ci15h230;ci14g230;ci13f230;ci13f230;ci12e230;ci11d230;ci10c230;ci09b230;ci08a230;int;;
net_income_per_month_wld_bad;For your household, in your current circumstances, what amount of net income per;;;ci18k231;ci17j231;ci16i231;ci15h231;ci14g231;ci13f231;ci13f231;ci12e231;ci11d231;ci10c231;ci09b231;ci08a231;int;;
net_income_per_month_wld_insf;For your household, in your current circumstances, what amount of net income per;;;ci18k232;ci17j232;ci16i232;ci15h232;ci14g232;ci13f232;ci13f232;ci12e232;ci11d232;ci10c232;ci09b232;ci08a232;int;;
net_income_per_month_wld_suf;For your household, in your current circumstances, what amount of net income per;;;ci18k233;ci17j233;ci16i233;ci15h233;ci14g233;ci13f233;ci13f233;ci12e233;ci11d233;ci10c233;ci09b233;ci08a233;int;;
net_income_per_month_wld_good;For your household, in your current circumstances, what amount of net income per;;;ci18k234;ci17j234;ci16i234;ci15h234;ci14g234;ci13f234;ci13f234;ci12e234;ci11d234;ci10c234;ci09b234;ci08a234;int;;
net_income_per_month_wld_vgood;For your household, in your current circumstances, what amount of net income per;;;ci18k235;ci17j235;ci16i235;ci15h235;ci14g235;ci13f235;ci13f235;ci12e235;ci11d235;ci10c235;ci09b235;ci08a235;int;;
net_income_per_month_wld_min;What amount of net income per month would you consider the absolute minimum for;ci20m236;;ci18k236;ci17j236;ci16i236;ci15h236;ci14g236;ci13f236;ci13f236;ci12e236;ci11d236;ci10c236;ci09b236;ci08a236;int;;
ex_ch_net_income_hhm_stop_work;Do you expect to see any changes to the total net income per month of your house;ci20m237;ci19l237;ci18k237;ci17j237;ci16i237;ci15h237;ci14g237;ci13f237;ci13f237;ci12e237;ci11d237;ci10c237;ci09b237;ci08a237;category;no|possibly|yes;True
ex_ch_net_income_hhm_start_work;Do you expect to see any changes to the total net income per month of your house;ci20m238;ci19l238;ci18k238;ci17j238;ci16i238;ci15h238;ci14g238;ci13f238;ci13f238;ci12e238;ci11d238;ci10c238;ci09b238;ci08a238;category;no|possibly|yes;True
