new_name;labels;L_WorkSchooling_wave13_SectorProfHours_03p.dta;cw19l_EN_1.1p.dta;cw18k_EN_1.0p.dta;cw17j_EN_1.0p.dta;cw16i_EN_1.0p.dta;cw15h_EN_1.0p.dta;cw14g_EN_1.0p.dta;cw13f_EN_1.0p.dta;cw12e_EN_1.0p.dta;cw11d_EN_1.0p.dta;cw10c_EN_1.0p.dta;cw09b_EN_3.0p.dta;cw08a_1.1p_EN.dta;type;categories_english;ordered
work_organisation;In what type of organization do (did) you work (in your last job)?;;cw19l122;cw18k122;cw17j122;cw16i122;cw15h122;cw14g122;cw13f122;cw12e122;cw11d122;cw10c122;cw09b122;cw08a122;category;public, semi-public sector|private company;False
work_first_organisation;In what type of organization did you work in your very first job? (Please enter;;cw19l123;cw18k123;cw17j123;cw16i123;cw15h123;cw14g123;cw13f123;cw12e123;cw11d123;cw10c123;cw09b123;cw08a123;category;public, semi-public sector|private company|self-employed (not on any payroll)|not applicable;False
work_partnership;Do (did) you participate in a partnership (Dutch: maatschap or vennootschap onde;;cw19l124;cw18k124;cw17j124;cw16i124;cw15h124;cw14g124;cw13f124;cw12e124;cw11d124;cw10c124;cw09b124;cw08a124;category;no|yes, in a VOF|yes, in a maatschap;False
work_self;Are (were) you self-employed or do (did) you work in a family business, or are (;;cw19l125;cw18k125;cw17j125;cw16i125;cw15h125;cw14g125;cw13f125;cw12e125;cw11d125;cw10c125;cw09b125;cw08a125;category;freelancer|self-employed|work(ed) in a family business;False
work_contract_hours;How many hours per week are (were) you employed in your (last) job, according to;cw20m126;cw19l126;cw18k126;cw17j126;cw16i126;cw15h126;cw14g126;cw13f126;cw12e126;cw11d126;cw10c126;cw09b126;cw08a126;int;;
work_actual_hours;How many hours per week do (did) you actually work on average in your (last) job;cw20m127;cw19l127;cw18k127;cw17j127;cw16i127;cw15h127;cw14g127;cw13f127;cw12e127;cw11d127;cw10c127;cw09b127;cw08a127;int;;
sat_salary;We would like to know how satisfied you are with your work and with certain aspe;;cw19l128;cw18k128;cw17j128;cw16i128;cw15h128;cw14g128;cw13f128;cw12e128;cw11d128;cw10c128;cw09b128;cw08a128;category;0|1|2|3|4|5|6|7|8|9|10;True
sat_worktimes;We would like to know how satisfied you are with your work and with certain aspe;;cw19l129;cw18k129;cw17j129;cw16i129;cw15h129;cw14g129;cw13f129;cw12e129;cw11d129;cw10c129;cw09b129;cw08a129;category;0|1|2|3|4|5|6|7|8|9|10;True
sat_type;We would like to know how satisfied you are with your work and with certain aspe;;cw19l130;cw18k130;cw17j130;cw16i130;cw15h130;cw14g130;cw13f130;cw12e130;cw11d130;cw10c130;cw09b130;cw08a130;category;0|1|2|3|4|5|6|7|8|9|10;True
sat_atmosphere;We would like to know how satisfied you are with your work and with certain aspe;;cw19l131;cw18k131;cw17j131;cw16i131;cw15h131;cw14g131;cw13f131;cw12e131;cw11d131;cw10c131;cw09b131;cw08a131;category;0|1|2|3|4|5|6|7|8|9|10;True
sat_career;We would like to know how satisfied you are with your work and with certain aspe;;;cw18k132;cw17j132;cw16i132;cw15h132;cw14g132;cw13f132;cw12e132;cw11d132;cw10c132;cw09b132;cw08a132;category;0|1|2|3|4|5|6|7|8|9|10;True
sat_current;We would like to know how satisfied you are with your work and with certain aspe;;cw19l133;cw18k133;cw17j133;cw16i133;cw15h133;cw14g133;cw13f133;cw12e133;cw11d133;cw10c133;cw09b133;cw08a133;category;0|1|2|3|4|5|6|7|8|9|10;True
start_job_year;In which year did you enter into employment with your current employer?;;cw19l134;cw18k134;cw17j134;cw16i134;cw15h134;cw14g134;cw13f134;cw12e134;cw11d134;cw10c134;cw09b134;cw08a134;int;;
start_job_month;And in which month did you start your current job?;;cw19l135;cw18k135;cw17j135;cw16i135;cw15h135;cw14g135;cw13f135;cw12e135;cw11d135;cw10c135;cw09b135;cw08a135;category;January|February|March|April|May|June|July|August|September|October|November|December;True
travel_minutes;How many minutes do you usually need to travel between your home and your work (;;cw19l136;cw18k136;cw17j136;cw16i136;cw15h136;cw14g136;cw13f136;cw12e136;cw11d136;cw10c136;cw09b136;cw08a136;int;;
travel_km;How many kilometers do you usually need to travel to get from home to work? If y;;;cw18k137;cw17j137;cw16i137;cw15h137;cw14g137;cw13f137;cw12e137;cw11d137;cw10c137;cw09b137;cw08a137;int;;
work_outside;Does your job often require you to work outside regular office hours, that is, d;;cw19l138;cw18k138;cw17j138;cw16i138;cw15h138;cw14g138;cw13f138;cw12e138;cw11d138;cw10c138;cw09b138;cw08a138;category;no|yes, I often work outside regular office hours|yes, I work in shifts|yes, I (almost) always work in the evening or at night;False
work_evening;During the course of the week, do you sometimes work in the evening between 6 p.;;cw19l139;cw18k139;cw17j139;cw16i139;cw15h139;cw14g139;cw13f139;cw12e139;cw11d139;cw10c139;cw09b139;cw08a139;category;no, I never work in the evening|I rarely work in the evening|I work one or more evenings once every few weeks|I work one or more evenings almost every week;False
work_night;During the course of the week, do you sometimes work at night (after midnight)?;;cw19l140;cw18k140;cw17j140;cw16i140;cw15h140;cw14g140;cw13f140;cw12e140;cw11d140;cw10c140;cw09b140;cw08a140;category;no, I never work at night|I rarely work at night|I work at night once every few weeks|I work at night almost every week;False
work_weekend;Do you ever work during the weekend, and if so, how often does this happen?;;cw19l141;cw18k141;cw17j141;cw16i141;cw15h141;cw14g141;cw13f141;cw12e141;cw11d141;cw10c141;cw09b141;cw08a141;category;no, I never work during the weekend|I rarely work during the weekend|I work during the weekend once every few weeks|I work during the weekend almost every week;False
work_home;Do you have a (partial) 'working-at-home day'?;;cw19l142;cw18k142;cw17j142;cw16i142;cw15h142;cw14g142;cw13f142;cw12e142;cw11d142;cw10c142;cw09b142;cw08a142;category;no|yes, less than one day per week|yes, about one day per week|yes, more than one day per week;False
sidejob;Do (did) you have other jobs (a second work setting) or sideline jobs or do (did;;cw19l143;cw18k143;cw17j143;cw16i143;cw15h143;cw14g143;cw13f143;cw12e143;cw11d143;cw10c143;cw09b143;cw08a143;category;yes, a sidejob (second work setting)|yes, my own business or partnership, not mentioned so far|no, no sideline job or second work place;False
sidejob_hours;How many hours per week do (did) you usually work in this sideline job or second;;cw19l144;cw18k144;cw17j144;cw16i144;cw15h144;cw14g144;cw13f144;cw12e144;cw11d144;cw10c144;cw09b144;cw08a144;int;;
preferred_hours;How many hours per week in total would you like to work?;;cw19l145;cw18k145;cw17j145;cw16i145;cw15h145;cw14g145;cw13f145;cw12e145;cw11d145;cw10c145;cw09b145;cw08a145;int;;
pension_overview;Did you receive an overview from a pension fund (or overviews from more than one;;cw19l146;cw18k146;cw17j146;cw16i146;cw15h146;cw14g146;cw13f146;cw12e146;cw11d146;cw10c146;cw09b146;cw08a146;boolean;;
pension_overview_amount;From how many pension funds (or insurers) did you receive an overview?;;cw19l147;cw18k147;cw17j147;cw16i147;cw15h147;cw14g147;cw13f147;cw12e147;cw11d147;cw10c147;cw09b147;cw08a147;int;;
pension1;What is the name of the pension fund/ the insurer?;;cw19l148;cw18k148;cw17j148;cw16i148;cw15h148;cw14g148;cw13f148;cw12e148;cw11d148;cw10c148;cw09b148;cw08a148;object;;
pension1_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l149;cw18k149;cw17j149;cw16i149;cw15h149;cw14g149;cw13f149;cw12e149;;;;cw08a149;int;;
pension1_credit;How many years of pension credit do you have, according to the overview?;;cw19l150;cw18k150;cw17j150;cw16i150;cw15h150;cw14g150;cw13f150;cw12e150;cw11d150;cw10c150;cw09b150;cw08a150;float;;
pension1_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l151;cw18k151;cw17j151;cw16i151;cw15h151;cw14g151;cw13f151;cw12e151;cw11d151;cw10c151;cw09b151;cw08a151;float;;
pension2;What is the name of the pension fund/ the insurer?;;cw19l152;cw18k152;cw17j152;cw16i152;cw15h152;cw14g152;cw13f152;cw12e152;cw11d152;cw10c152;cw09b152;cw08a152;object;;
pension2_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l153;cw18k153;cw17j153;cw16i153;cw15h153;cw14g153;cw13f153;cw12e153;;;;cw08a153;int;;
pension2_credit;How many years of pension credit do you have, according to the overview?;;cw19l154;cw18k154;cw17j154;cw16i154;cw15h154;cw14g154;cw13f154;cw12e154;cw11d154;cw10c154;cw09b154;cw08a154;float;;
pension2_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l155;cw18k155;cw17j155;cw16i155;cw15h155;cw14g155;cw13f155;cw12e155;cw11d155;cw10c155;cw09b155;cw08a155;float;;
pension3;What is the name of the pension fund/ the insurer?;;cw19l156;cw18k156;cw17j156;cw16i156;cw15h156;cw14g156;cw13f156;cw12e156;cw11d156;cw10c156;cw09b156;cw08a156;object;;
pension3_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l157;cw18k157;cw17j157;cw16i157;cw15h157;cw14g157;cw13f157;cw12e157;;;;cw08a157;int;;
pension3_credit;How many years of pension credit do you have, according to the overview?;;cw19l158;cw18k158;cw17j158;cw16i158;cw15h158;cw14g158;cw13f158;cw12e158;cw11d158;cw10c158;cw09b158;cw08a158;float;;
pension3_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l159;cw18k159;cw17j159;cw16i159;cw15h159;cw14g159;cw13f159;cw12e159;cw11d159;cw10c159;cw09b159;cw08a159;float;;
pension4;What is the name of the pension fund/ the insurer?;;cw19l160;cw18k160;cw17j160;cw16i160;cw15h160;cw14g160;cw13f160;cw12e160;cw11d160;cw10c160;cw09b160;cw08a160;object;;
pension4_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l161;cw18k161;cw17j161;cw16i161;cw15h161;cw14g161;cw13f161;cw12e161;;;;cw08a161;int;;
pension4_credit;How many years of pension credit do you have, according to the overview?;;cw19l162;cw18k162;cw17j162;cw16i162;cw15h162;cw14g162;cw13f162;cw12e162;cw11d162;cw10c162;cw09b162;cw08a162;float;;
pension4_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l163;cw18k163;cw17j163;cw16i163;cw15h163;cw14g163;cw13f163;cw12e163;cw11d163;cw10c163;cw09b163;cw08a163;float;;
pension5;What is the name of the pension fund/ the insurer?;;cw19l164;cw18k164;cw17j164;cw16i164;cw15h164;cw14g164;cw13f164;cw12e164;cw11d164;cw10c164;cw09b164;cw08a164;object;;
pension5_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l165;cw18k165;cw17j165;cw16i165;cw15h165;cw14g165;cw13f165;cw12e165;;;;cw08a165;int;;
pension5_credit;How many years of pension credit do you have, according to the overview?;;cw19l166;cw18k166;cw17j166;cw16i166;cw15h166;cw14g166;cw13f166;cw12e166;cw11d166;cw10c166;cw09b166;cw08a166;float;;
pension5_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l167;cw18k167;cw17j167;cw16i167;cw15h167;cw14g167;cw13f167;cw12e167;cw11d167;cw10c167;cw09b167;cw08a167;float;;
pension6;What is the name of the pension fund/ the insurer?;;cw19l168;cw18k168;cw17j168;cw16i168;cw15h168;cw14g168;cw13f168;cw12e168;cw11d168;cw10c168;cw09b168;cw08a168;object;;
pension6_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l169;cw18k169;cw17j169;cw16i169;cw15h169;cw14g169;cw13f169;cw12e169;;;;cw08a169;int;;
pension6_credit;How many years of pension credit do you have, according to the overview?;;cw19l170;cw18k170;cw17j170;cw16i170;cw15h170;cw14g170;cw13f170;cw12e170;cw11d170;cw10c170;cw09b170;cw08a170;float;;
pension6_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l171;cw18k171;cw17j171;cw16i171;cw15h171;cw14g171;cw13f171;cw12e171;cw11d171;cw10c171;cw09b171;cw08a171;float;;
pension7;What is the name of the pension fund/ the insurer?;;cw19l172;cw18k172;cw17j172;cw16i172;cw15h172;cw14g172;cw13f172;cw12e172;cw11d172;cw10c172;cw09b172;cw08a172;object;;
pension7_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l173;cw18k173;cw17j173;cw16i173;cw15h173;cw14g173;cw13f173;cw12e173;;;;cw08a173;int;;
pension7_credit;How many years of pension credit do you have, according to the overview?;;cw19l174;cw18k174;cw17j174;cw16i174;cw15h174;cw14g174;cw13f174;cw12e174;cw11d174;cw10c174;cw09b174;cw08a174;float;;
pension7_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l175;cw18k175;cw17j175;cw16i175;cw15h175;cw14g175;cw13f175;cw12e175;cw11d175;cw10c175;cw09b175;cw08a175;float;;
pension8;What is the name of the pension fund/ the insurer?;;cw19l176;cw18k176;cw17j176;cw16i176;cw15h176;cw14g176;cw13f176;cw12e176;cw11d176;cw10c176;cw09b176;cw08a176;object;;
pension8_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l177;cw18k177;cw17j177;cw16i177;cw15h177;cw14g177;cw13f177;cw12e177;;;;cw08a177;int;;
pension8_credit;How many years of pension credit do you have, according to the overview?;;cw19l178;cw18k178;cw17j178;cw16i178;cw15h178;cw14g178;cw13f178;cw12e178;cw11d178;cw10c178;cw09b178;cw08a178;float;;
pension8_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l179;cw18k179;cw17j179;cw16i179;cw15h179;cw14g179;cw13f179;cw12e179;cw11d179;cw10c179;cw09b179;cw08a179;float;;
pension9;What is the name of the pension fund/ the insurer?;;cw19l180;cw18k180;cw17j180;cw16i180;cw15h180;cw14g180;cw13f180;cw12e180;cw11d180;cw10c180;cw09b180;cw08a180;object;;
pension9_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l181;cw18k181;cw17j181;cw16i181;cw15h181;cw14g181;cw13f181;cw12e181;;;;cw08a181;int;;
pension9_credit;How many years of pension credit do you have, according to the overview?;;cw19l182;cw18k182;cw17j182;cw16i182;cw15h182;cw14g182;cw13f182;cw12e182;cw11d182;cw10c182;cw09b182;cw08a182;float;;
pension9_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l183;cw18k183;cw17j183;cw16i183;cw15h183;cw14g183;cw13f183;cw12e183;cw11d183;cw10c183;cw09b183;cw08a183;float;;
pension10;What is the name of the pension fund/ the insurer?;;cw19l184;cw18k184;cw17j184;cw16i184;cw15h184;cw14g184;cw13f184;cw12e184;cw11d184;cw10c184;cw09b184;cw08a184;object;;
pension10_year;Is the pension overview about the situation on December 31th 2014 or December 31;;cw19l185;cw18k185;cw17j185;cw16i185;cw15h185;cw14g185;cw13f185;cw12e185;;;;cw08a185;int;;
pension10_credit;How many years of pension credit do you have, according to the overview?;;cw19l186;cw18k186;cw17j186;cw16i186;cw15h186;cw14g186;cw13f186;cw12e186;cw11d186;cw10c186;cw09b186;cw08a186;float;;
pension10_benefit;What will be your gross pension benefit per year from the old age pension age on;;cw19l187;cw18k187;cw17j187;cw16i187;cw15h187;cw14g187;cw13f187;cw12e187;cw11d187;cw10c187;cw09b187;cw08a187;float;;
pension_no_overview;Have you accumulated pension rights at (other) pension funds or pension insurers;;cw19l188;cw18k188;cw17j188;cw16i188;cw15h188;cw14g188;cw13f188;cw12e188;cw11d188;cw10c188;cw09b188;cw08a188;boolean;;
pension_no_overview_amount;From how many pension funds / pension insurers did you not receive an overview?;;cw19l189;cw18k189;cw17j189;cw16i189;cw15h189;cw14g189;cw13f189;cw12e189;cw11d189;cw10c189;cw09b189;cw08a189;int;;
pension_fund1;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l190;cw18k190;cw17j190;cw16i190;cw15h190;cw14g190;cw13f190;cw12e190;cw11d190;cw10c190;cw09b190;cw08a190;boolean;;
pension_fund2;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l191;cw18k191;cw17j191;cw16i191;cw15h191;cw14g191;cw13f191;cw12e191;cw11d191;cw10c191;cw09b191;cw08a191;boolean;;
pension_fund3;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l192;cw18k192;cw17j192;cw16i192;cw15h192;cw14g192;cw13f192;cw12e192;cw11d192;cw10c192;cw09b192;cw08a192;boolean;;
pension_fund4;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l193;cw18k193;cw17j193;cw16i193;cw15h193;cw14g193;cw13f193;cw12e193;cw11d193;cw10c193;cw09b193;cw08a193;boolean;;
pension_fund5;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l194;cw18k194;cw17j194;cw16i194;cw15h194;cw14g194;cw13f194;cw12e194;cw11d194;cw10c194;cw09b194;cw08a194;boolean;;
pension_fund6;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l195;cw18k195;cw17j195;cw16i195;cw15h195;cw14g195;cw13f195;cw12e195;cw11d195;cw10c195;cw09b195;cw08a195;boolean;;
pension_fund7;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l196;cw18k196;cw17j196;cw16i196;cw15h196;cw14g196;cw13f196;cw12e196;cw11d196;cw10c196;cw09b196;cw08a196;boolean;;
pension_fund8;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l197;cw18k197;cw17j197;cw16i197;cw15h197;cw14g197;cw13f197;cw12e197;cw11d197;cw10c197;cw09b197;cw08a197;boolean;;
pension_fund9;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l198;cw18k198;cw17j198;cw16i198;cw15h198;cw14g198;cw13f198;cw12e198;cw11d198;cw10c198;cw09b198;cw08a198;boolean;;
pension_fund10;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l199;cw18k199;cw17j199;cw16i199;cw15h199;cw14g199;cw13f199;cw12e199;cw11d199;cw10c199;cw09b199;cw08a199;boolean;;
pension_fund11;Can you indicate the name of the pension funds or pension insurers from which yo;;;;;;cw15h200;cw14g200;cw13f200;cw12e200;cw11d200;cw10c200;cw09b200;cw08a200;boolean;;
pension_fund12;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l201;cw18k201;cw17j201;cw16i201;cw15h201;cw14g201;cw13f201;cw12e201;cw11d201;cw10c201;cw09b201;cw08a201;boolean;;
pension_fund13;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l202;cw18k202;cw17j202;cw16i202;cw15h202;cw14g202;cw13f202;cw12e202;cw11d202;cw10c202;cw09b202;cw08a202;boolean;;
pension_fund14;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l203;cw18k203;cw17j203;cw16i203;cw15h203;cw14g203;cw13f203;cw12e203;cw11d203;cw10c203;cw09b203;cw08a203;boolean;;
pension_fund15;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l204;cw18k204;cw17j204;cw16i204;cw15h204;cw14g204;cw13f204;cw12e204;cw11d204;cw10c204;cw09b204;cw08a204;boolean;;
pension_fund16;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l205;cw18k205;cw17j205;cw16i205;cw15h205;cw14g205;cw13f205;cw12e205;cw11d205;cw10c205;cw09b205;cw08a205;boolean;;
pension_fund17;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l206;cw18k206;cw17j206;cw16i206;cw15h206;cw14g206;cw13f206;cw12e206;cw11d206;cw10c206;cw09b206;cw08a206;boolean;;
pension_fund18;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l207;cw18k207;cw17j207;cw16i207;cw15h207;cw14g207;cw13f207;cw12e207;cw11d207;cw10c207;cw09b207;cw08a207;boolean;;
pension_fund19;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l208;cw18k208;cw17j208;cw16i208;cw15h208;cw14g208;cw13f208;cw12e208;cw11d208;cw10c208;cw09b208;cw08a208;boolean;;
pension_fund20;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l209;cw18k209;cw17j209;cw16i209;cw15h209;cw14g209;cw13f209;cw12e209;cw11d209;cw10c209;cw09b209;cw08a209;boolean;;
pension_fund21;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l210;cw18k210;cw17j210;cw16i210;cw15h210;cw14g210;cw13f210;cw12e210;cw11d210;cw10c210;cw09b210;cw08a210;boolean;;
pension_fund22;Can you indicate the name of the pension funds or pension insurers from which yo;;;cw18k211;cw17j211;cw16i211;cw15h211;cw14g211;cw13f211;cw12e211;cw11d211;cw10c211;cw09b211;cw08a211;float;;
pension_fund23;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l212;cw18k212;cw17j212;cw16i212;cw15h212;cw14g212;cw13f212;cw12e212;cw11d212;cw10c212;cw09b212;cw08a212;boolean;;
pension_fund24;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l213;cw18k213;cw17j213;cw16i213;cw15h213;cw14g213;cw13f213;cw12e213;cw11d213;cw10c213;cw09b213;cw08a213;boolean;;
pension_fund25;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l214;cw18k214;cw17j214;cw16i214;cw15h214;cw14g214;cw13f214;cw12e214;cw11d214;cw10c214;cw09b214;cw08a214;boolean;;
pension_fund26;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l215;cw18k215;cw17j215;cw16i215;cw15h215;cw14g215;cw13f215;cw12e215;cw11d215;cw10c215;cw09b215;cw08a215;boolean;;
pension_fund27;Can you indicate the name of the pension funds or pension insurers from which yo;;;;;;cw15h216;cw14g216;cw13f216;cw12e216;cw11d216;cw10c216;cw09b216;cw08a216;boolean;;
pension_fund28;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l217;cw18k217;cw17j217;cw16i217;cw15h217;cw14g217;cw13f217;cw12e217;cw11d217;cw10c217;cw09b217;cw08a217;boolean;;
pension_fund29;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l218;cw18k218;cw17j218;cw16i218;cw15h218;cw14g218;cw13f218;cw12e218;cw11d218;cw10c218;cw09b218;cw08a218;boolean;;
pension_fund30;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l219;cw18k219;cw17j219;cw16i219;cw15h219;cw14g219;cw13f219;cw12e219;cw11d219;cw10c219;cw09b219;cw08a219;boolean;;
pension_fund31;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l220;cw18k220;cw17j220;cw16i220;cw15h220;cw14g220;cw13f220;cw12e220;cw11d220;cw10c220;cw09b220;cw08a220;boolean;;
pension_fund32;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l221;cw18k221;cw17j221;cw16i221;cw15h221;cw14g221;cw13f221;cw12e221;cw11d221;cw10c221;cw09b221;cw08a221;boolean;;
pension_fund33;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l222;cw18k222;cw17j222;cw16i222;cw15h222;cw14g222;cw13f222;cw12e222;cw11d222;cw10c222;cw09b222;cw08a222;boolean;;
pension_fund34;Can you indicate the name of the pension funds or pension insurers from which yo;;cw19l223;cw18k223;cw17j223;cw16i223;cw15h223;cw14g223;cw13f223;cw12e223;cw11d223;cw10c223;cw09b223;cw08a223;boolean;;
pension_fund_specified1;Can you indicate the name (or names) here?;;cw19l224;cw18k224;cw17j224;cw16i224;cw15h224;cw14g224;cw13f224;cw12e224;cw11d224;cw10c224;cw09b224;cw08a224;object;;
pension_fund_specified2;Can you indicate the name (or names) here?;;cw19l225;cw18k225;cw17j225;cw16i225;cw15h225;cw14g225;cw13f225;cw12e225;cw11d225;cw10c225;cw09b225;cw08a225;object;;
pension_fund_specified3;Can you indicate the name (or names) here?;;cw19l226;cw18k226;cw17j226;cw16i226;cw15h226;cw14g226;cw13f226;cw12e226;cw11d226;cw10c226;cw09b226;cw08a226;object;;
pension_fund_specified4;Can you indicate the name (or names) here?;;cw19l227;cw18k227;cw17j227;cw16i227;cw15h227;cw14g227;cw13f227;cw12e227;cw11d227;cw10c227;cw09b227;cw08a227;object;;
pension_fund_specified5;Can you indicate the name (or names) here?;;cw19l228;cw18k228;cw17j228;cw16i228;cw15h228;cw14g228;cw13f228;cw12e228;cw11d228;cw10c228;cw09b228;cw08a228;object;;
pension_fund_specified6;Can you indicate the name (or names) here?;;cw19l229;cw18k229;cw17j229;cw16i229;cw15h229;cw14g229;cw13f229;cw12e229;cw11d229;cw10c229;cw09b229;cw08a229;object;;
pension_fund_specified7;Can you indicate the name (or names) here?;;cw19l230;cw18k230;cw17j230;cw16i230;cw15h230;cw14g230;cw13f230;cw12e230;cw11d230;cw10c230;cw09b230;cw08a230;object;;
pension_fund_specified8;Can you indicate the name (or names) here?;;cw19l231;cw18k231;cw17j231;cw16i231;cw15h231;cw14g231;cw13f231;cw12e231;cw11d231;cw10c231;cw09b231;cw08a231;object;;
pension_fund_specified9;Can you indicate the name (or names) here?;;cw19l232;cw18k232;cw17j232;cw16i232;cw15h232;cw14g232;cw13f232;cw12e232;cw11d232;cw10c232;cw09b232;cw08a232;object;;
pension_fund_specified10;Can you indicate the name (or names) here?;;cw19l233;cw18k233;cw17j233;cw16i233;cw15h233;cw14g233;cw13f233;cw12e233;cw11d233;cw10c233;cw09b233;cw08a233;object;;
pension_contract1;With which of the listed pension funds or pension insurers did you have an arran;;cw19l234;cw18k234;cw17j234;cw16i234;cw15h234;cw14g234;cw13f234;cw12e234;cw11d234;cw10c234;cw09b234;cw08a234;boolean;;
pension_contract2;With which of the listed pension funds or pension insurers did you have an arran;;cw19l235;cw18k235;cw17j235;cw16i235;cw15h235;cw14g235;cw13f235;cw12e235;cw11d235;cw10c235;cw09b235;cw08a235;boolean;;
pension_contract3;With which of the listed pension funds or pension insurers did you have an arran;;cw19l236;cw18k236;cw17j236;cw16i236;cw15h236;cw14g236;cw13f236;cw12e236;cw11d236;cw10c236;cw09b236;cw08a236;boolean;;
pension_contract4;With which of the listed pension funds or pension insurers did you have an arran;;cw19l237;cw18k237;cw17j237;cw16i237;cw15h237;cw14g237;cw13f237;cw12e237;cw11d237;cw10c237;cw09b237;cw08a237;boolean;;
pension_contract5;With which of the listed pension funds or pension insurers did you have an arran;;cw19l238;cw18k238;cw17j238;cw16i238;cw15h238;cw14g238;cw13f238;cw12e238;cw11d238;cw10c238;cw09b238;cw08a238;boolean;;
pension_contract6;With which of the listed pension funds or pension insurers did you have an arran;;cw19l239;cw18k239;cw17j239;cw16i239;cw15h239;cw14g239;cw13f239;cw12e239;cw11d239;cw10c239;cw09b239;cw08a239;boolean;;
pension_contract7;With which of the listed pension funds or pension insurers did you have an arran;;cw19l240;cw18k240;cw17j240;cw16i240;cw15h240;cw14g240;cw13f240;cw12e240;cw11d240;cw10c240;cw09b240;cw08a240;boolean;;
pension_contract8;With which of the listed pension funds or pension insurers did you have an arran;;cw19l241;cw18k241;cw17j241;cw16i241;cw15h241;cw14g241;cw13f241;cw12e241;cw11d241;cw10c241;cw09b241;cw08a241;boolean;;
pension_contract9;With which of the listed pension funds or pension insurers did you have an arran;;cw19l242;cw18k242;cw17j242;cw16i242;cw15h242;cw14g242;cw13f242;cw12e242;cw11d242;cw10c242;cw09b242;cw08a242;boolean;;
pension_contract10;With which of the listed pension funds or pension insurers did you have an arran;;cw19l243;cw18k243;cw17j243;cw16i243;cw15h243;cw14g243;cw13f243;cw12e243;cw11d243;cw10c243;cw09b243;cw08a243;boolean;;
pension_contract11;With which of the listed pension funds or pension insurers did you have an arran;;;;;;cw15h244;cw14g244;cw13f244;cw12e244;cw11d244;cw10c244;cw09b244;cw08a244;boolean;;
pension_contract12;With which of the listed pension funds or pension insurers did you have an arran;;cw19l245;cw18k245;cw17j245;cw16i245;cw15h245;cw14g245;cw13f245;cw12e245;cw11d245;cw10c245;cw09b245;cw08a245;boolean;;
pension_contract13;With which of the listed pension funds or pension insurers did you have an arran;;cw19l246;cw18k246;cw17j246;cw16i246;cw15h246;cw14g246;cw13f246;cw12e246;cw11d246;cw10c246;cw09b246;cw08a246;boolean;;
pension_contract14;With which of the listed pension funds or pension insurers did you have an arran;;cw19l247;cw18k247;cw17j247;cw16i247;cw15h247;cw14g247;cw13f247;cw12e247;cw11d247;cw10c247;cw09b247;cw08a247;boolean;;
