new_name;labels;ch20m_EN_1.0p.dta;ch19l_EN_1.0p.dta;ch18k_EN_1.0p.dta;ch17j_EN_1.0p.dta;ch16i_EN_1.0p.dta;ch15h_EN_1.2p.dta;ch13g_EN_1.0p.dta;ch12f_EN_1.0p.dta;ch11e_EN_1.0p.dta;ch10d_EN_1.0p.dta;ch09c_EN_1.1p.dta;ch08b_EN_1.3p.dta;ch07a_2p_EN.dta;type;categories_english;ordered
drugs2;soft drugs (such as hashish, marijuana);ch20m160;ch19l160;ch18k160;ch17j160;ch16i160;ch15h160;ch13g160;ch12f160;ch11e160;ch10d160;ch09c160;ch08b160;ch07a160;category;never|sometimes|regularly;True
drugs3;XTC;ch20m161;ch19l161;ch18k161;ch17j161;ch16i161;ch15h161;ch13g161;ch12f161;ch11e161;ch10d161;ch09c161;ch08b161;ch07a161;category;never|sometimes|regularly;True
drugs4;hallucinogens (such as LSD, magic mushrooms);ch20m162;ch19l162;ch18k162;ch17j162;ch16i162;ch15h162;ch13g162;ch12f162;ch11e162;ch10d162;ch09c162;ch08b162;ch07a162;category;never|sometimes|regularly;True
drugs5;hard drugs (such as stimulants, cocaine, heroine);ch20m163;ch19l163;ch18k163;ch17j163;ch16i163;ch15h163;ch13g163;ch12f163;ch11e163;ch10d163;ch09c163;ch08b163;ch07a163;category;never|sometimes|regularly;True
drugs6;laughing gas;ch20m270;;;;;;;;;;;;;category;never|sometimes|regularly;True
drugs1_amount;sedatives (such as valium);ch20m164;ch19l164;ch18k164;ch17j164;ch16i164;ch15h164;ch13g164;ch12f164;ch11e164;ch10d164;ch09c164;ch08b164;ch07a164;int;;
drugs2_amount;soft drugs (such as hashish, marijuana);ch20m165;ch19l165;ch18k165;ch17j165;ch16i165;ch15h165;ch13g165;ch12f165;ch11e165;ch10d165;ch09c165;ch08b165;ch07a165;int;;
drugs3_amount;XTC;ch20m166;ch19l166;ch18k166;ch17j166;ch16i166;ch15h166;ch13g166;ch12f166;ch11e166;ch10d166;ch09c166;ch08b166;ch07a166;int;;
drugs4_amount;hallucinogens (such as LSD, magic mushrooms);ch20m167;ch19l167;ch18k167;ch17j167;ch16i167;ch15h167;ch13g167;ch12f167;ch11e167;ch10d167;ch09c167;ch08b167;ch07a167;int;;
drugs5_amount;hard drugs (such as stimulants, cocaine, heroine);ch20m168;ch19l168;ch18k168;ch17j168;ch16i168;ch15h168;ch13g168;ch12f168;ch11e168;ch10d168;ch09c168;ch08b168;ch07a168;int;;
drugs6_amount;laughing gas;ch20m271;;;;;;;;;;;;;int;;
med_cholestrol;high blood cholesterol;ch20m169;ch19l169;ch18k169;ch17j169;ch16i169;ch15h169;ch13g169;ch12f169;ch11e169;ch10d169;ch09c169;ch08b169;ch07a169;boolean;;
med_pressure;high blood pressure;ch20m170;ch19l170;ch18k170;ch17j170;ch16i170;ch15h170;ch13g170;ch12f170;ch11e170;ch10d170;ch09c170;ch08b170;ch07a170;boolean;;
med_infarct;heart or brain infarction;ch20m171;ch19l171;ch18k171;ch17j171;ch16i171;ch15h171;ch13g171;ch12f171;ch11e171;ch10d171;ch09c171;ch08b171;ch07a171;boolean;;
med_heart;other heart diseases;ch20m172;ch19l172;ch18k172;ch17j172;ch16i172;ch15h172;ch13g172;ch12f172;ch11e172;ch10d172;ch09c172;ch08b172;ch07a172;boolean;;
med_asthma;asthma;ch20m173;ch19l173;ch18k173;ch17j173;ch16i173;ch15h173;ch13g173;ch12f173;ch11e173;ch10d173;ch09c173;ch08b173;ch07a173;boolean;;
med_diabetes;diabetes;ch20m174;ch19l174;ch18k174;ch17j174;ch16i174;ch15h174;ch13g174;ch12f174;ch11e174;ch10d174;ch09c174;ch08b174;ch07a174;boolean;;
med_joint;joint pain or joint infection;ch20m175;ch19l175;ch18k175;ch17j175;ch16i175;ch15h175;ch13g175;ch12f175;ch11e175;ch10d175;ch09c175;ch08b175;ch07a175;boolean;;
med_pain;other pains (such as headache, backache, etc.);ch20m176;ch19l176;ch18k176;ch17j176;ch16i176;ch15h176;ch13g176;ch12f176;ch11e176;ch10d176;ch09c176;ch08b176;ch07a176;boolean;;
med_sleep;sleeping problems;ch20m177;ch19l177;ch18k177;ch17j177;ch16i177;ch15h177;ch13g177;ch12f177;ch11e177;ch10d177;ch09c177;ch08b177;ch07a177;boolean;;
med_depression;anxiety or depression;ch20m178;ch19l178;ch18k178;ch17j178;ch16i178;ch15h178;ch13g178;ch12f178;ch11e178;ch10d178;ch09c178;ch08b178;ch07a178;boolean;;
med_osteo1;osteoporosis (hormonal);ch20m179;ch19l179;ch18k179;ch17j179;ch16i179;ch15h179;ch13g179;ch12f179;ch11e179;ch10d179;ch09c179;ch08b179;ch07a179;boolean;;
med_osteo2;osteoporosis (non-hormonal);ch20m180;ch19l180;ch18k180;ch17j180;ch16i180;ch15h180;ch13g180;ch12f180;ch11e180;ch10d180;ch09c180;ch08b180;ch07a180;boolean;;
med_burn;heartburn;ch20m181;ch19l181;ch18k181;ch17j181;ch16i181;ch15h181;ch13g181;ch12f181;ch11e181;ch10d181;ch09c181;ch08b181;ch07a181;boolean;;
med_bronchitis;chronic bronchitis;ch20m182;ch19l182;ch18k182;ch17j182;ch16i182;ch15h182;ch13g182;ch12f182;ch11e182;ch10d182;ch09c182;ch08b182;ch07a182;boolean;;
med_other;other complaints or diseased not yet mentioned;ch20m183;ch19l183;ch18k183;ch17j183;ch16i183;ch15h183;ch13g183;ch12f183;ch11e183;ch10d183;ch09c183;ch08b183;ch07a183;boolean;;
med_none;I do not take any medicine;ch20m184;ch19l184;ch18k184;ch17j184;ch16i184;ch15h184;ch13g184;ch12f184;ch11e184;ch10d184;ch09c184;ch08b184;ch07a184;boolean;;
active_heavy;If you look back on the last 7 days, on how many of those days did you perform s;;;ch18k185;ch17j185;ch16i185;ch15h185;ch13g185;ch12f185;ch11e185;ch10d185;ch09c185;ch08b185;ch07a185;int;;
active_heavy_hours;number of hours per day;;;ch18k186;ch17j186;ch16i186;ch15h186;ch13g186;ch12f186;ch11e186;ch10d186;ch09c186;ch08b186;ch07a186;int;;
active_heavy_min;number of minutes per day;;;ch18k187;ch17j187;ch16i187;ch15h187;ch13g187;ch12f187;ch11e187;ch10d187;ch09c187;ch08b187;ch07a187;int;;
active_moderate;If you think of the past 7 days, on how many of those days did you perform moder;;;ch18k188;ch17j188;ch16i188;ch15h188;ch13g188;ch12f188;ch11e188;ch10d188;ch09c188;ch08b188;ch07a188;int;;
active_moderate_hours;number of hours per day;;;ch18k189;ch17j189;ch16i189;ch15h189;ch13g189;ch12f189;ch11e189;ch10d189;ch09c189;ch08b189;ch07a189;int;;
active_moderate_min;number of minutes per day;;;ch18k190;ch17j190;ch16i190;ch15h190;ch13g190;ch12f190;ch11e190;ch10d190;ch09c190;ch08b190;ch07a190;int;;
active_walking_days;If you look back on the last 7 days, on how many of those days did you spend at;;;ch18k191;ch17j191;ch16i191;ch15h191;ch13g191;ch12f191;ch11e191;ch10d191;ch09c191;ch08b191;ch07a191;int;;
active_walking_hours;number of hours per day;;;ch18k192;ch17j192;ch16i192;ch15h192;ch13g192;ch12f192;ch11e192;ch10d192;ch09c192;ch08b192;ch07a192;int;;
active_walking_min;number of minutes per day;;;ch18k193;ch17j193;ch16i193;ch15h193;ch13g193;ch12f193;ch11e193;ch10d193;ch09c193;ch08b193;ch07a193;int;;
active_sitting_hours;number of hours per day;;;ch18k194;ch17j194;ch16i194;ch15h194;ch13g194;ch12f194;ch11e194;ch10d194;ch09c194;ch08b194;ch07a194;int;;
active_sitting_min;number of minutes per day;;;ch18k195;ch17j195;ch16i195;ch15h195;ch13g195;ch12f195;ch11e195;ch10d195;ch09c195;ch08b195;ch07a195;int;;
consume_vegetable;Do you eat raw or cooked vegetables?;;;ch18k196;ch17j196;ch16i196;ch15h196;ch13g196;ch12f196;ch11e196;ch10d196;ch09c196;ch08b196;ch07a196;category;never|1 to 3 times per month|1 time per week|2 to 4 times per week|5 to 6 times per week|every day;True
consume_fruit;Do you eat fruit?;;;ch18k197;ch17j197;ch16i197;ch15h197;ch13g197;ch12f197;ch11e197;ch10d197;ch09c197;ch08b197;ch07a197;category;never|1 to 3 times per month|1 time per week|2 to 4 times per week|5 to 6 times per week|every day;True
consume_wholewheat;Do you eat wholewheat products (rice, grains, dough products, bread)?;;;ch18k198;ch17j198;ch16i198;ch15h198;ch13g198;ch12f198;ch11e198;ch10d198;ch09c198;ch08b198;ch07a198;category;never|1 to 3 times per month|1 time per week|2 to 4 times per week|5 to 6 times per week|every day;True
consume_fish;Do you eat fish or other seafood?;;;ch18k199;ch17j199;ch16i199;ch15h199;ch13g199;ch12f199;ch11e199;ch10d199;ch09c199;ch08b199;ch07a199;category;never|1 to 3 times per month|1 time per week|2 to 4 times per week|5 to 6 times per week|every day;True
consume_meat;Do you eat meat or meat products?;;;ch18k200;ch17j200;ch16i200;ch15h200;ch13g200;ch12f200;ch11e200;ch10d200;ch09c200;ch08b200;ch07a200;category;never|1 to 3 times per month|1 time per week|2 to 4 times per week|5 to 6 times per week|every day;True
target_weight_kg;What is your target weight?;;;ch18k201;ch17j201;ch16i201;ch15h201;ch13g201;ch12f201;ch11e201;ch10d201;ch09c201;ch08b201;ch07a201;int;;
diet;Do you follow a diet to achieve (maintain) this target weight?;;;ch18k202;ch17j202;ch16i202;ch15h202;ch13g202;ch12f202;ch11e202;ch10d202;ch09c202;ch08b202;ch07a202;boolean;;
flu_vaccination;Did you have a flu vaccination during the past 12 months?;;;ch18k203;ch17j203;ch16i203;ch15h203;ch13g203;ch12f203;ch11e203;ch10d203;ch09c203;ch08b203;ch07a203;boolean;;
service_physician;family physician;ch20m206;ch19l206;ch18k206;ch17j206;ch16i206;ch15h206;ch13g206;ch12f206;ch11e206;ch10d206;ch09c206;ch08b206;ch07a206;int;;
service_psychiatrist;psychiatrist/psychologist/psychotherapist;ch20m207;ch19l207;ch18k207;ch17j207;ch16i207;ch15h207;ch13g207;ch12f207;ch11e207;ch10d207;ch09c207;ch08b207;ch07a207;int;;
service_specialist;medical specialist at a hospital;ch20m208;ch19l208;ch18k208;ch17j208;ch16i208;ch15h208;ch13g208;ch12f208;ch11e208;ch10d208;ch09c208;ch08b208;ch07a208;int;;
service_physiotherapist;physiotherapist;ch20m209;ch19l209;ch18k209;ch17j209;ch16i209;ch15h209;ch13g209;ch12f209;ch11e209;ch10d209;ch09c209;ch08b209;ch07a209;int;;
service_dentist;dentist;ch20m210;ch19l210;ch18k210;ch17j210;ch16i210;ch15h210;ch13g210;ch12f210;ch11e210;ch10d210;ch09c210;ch08b210;ch07a210;int;;
service_homecare;homecare;ch20m211;ch19l211;ch18k211;ch17j211;ch16i211;ch15h211;ch13g211;ch12f211;ch11e211;ch10d211;ch09c211;ch08b211;ch07a211;int;;
service_homeopath;homeopath;ch20m212;ch19l212;ch18k212;ch17j212;ch16i212;ch15h212;ch13g212;ch12f212;ch11e212;ch10d212;ch09c212;ch08b212;ch07a212;int;;
service_acupuncture;acupuncturist;ch20m213;ch19l213;ch18k213;ch17j213;ch16i213;ch15h213;ch13g213;ch12f213;ch11e213;ch10d213;ch09c213;ch08b213;ch07a213;int;;
service_alternative;alternative medical practitioner;ch20m214;ch19l214;ch18k214;ch17j214;ch16i214;ch15h214;ch13g214;ch12f214;ch11e214;ch10d214;ch09c214;ch08b214;ch07a214;int;;
service_magnetist;magnetist;ch20m215;ch19l215;ch18k215;ch17j215;ch16i215;ch15h215;ch13g215;ch12f215;ch11e215;ch10d215;ch09c215;ch08b215;ch07a215;int;;
service_paranormal;paranormal healer;ch20m216;ch19l216;ch18k216;ch17j216;ch16i216;ch15h216;ch13g216;ch12f216;ch11e216;ch10d216;ch09c216;ch08b216;ch07a216;int;;
service_other;other alternative healer;ch20m217;ch19l217;ch18k217;ch17j217;ch16i217;ch15h217;ch13g217;ch12f217;ch11e217;ch10d217;ch09c217;ch08b217;ch07a217;int;;
specialist_internist;internist;ch20m218;ch19l218;ch18k218;ch17j218;ch16i218;ch15h218;ch13g218;ch12f218;ch11e218;ch10d218;ch09c218;ch08b218;ch07a218;boolean;;
specialist_gynae;gynaecologist;ch20m219;ch19l219;ch18k219;ch17j219;ch16i219;ch15h219;ch13g219;ch12f219;ch11e219;ch10d219;ch09c219;ch08b219;ch07a219;boolean;;
specialist_heart;heart specialist (cardiologist);ch20m220;ch19l220;ch18k220;ch17j220;ch16i220;ch15h220;ch13g220;ch12f220;ch11e220;ch10d220;ch09c220;ch08b220;ch07a220;boolean;;
specialist_neuro;neurologist;ch20m221;ch19l221;ch18k221;ch17j221;ch16i221;ch15h221;ch13g221;ch12f221;ch11e221;ch10d221;ch09c221;ch08b221;ch07a221;boolean;;
specialist_eye;ophthalmologist;ch20m222;ch19l222;ch18k222;ch17j222;ch16i222;ch15h222;ch13g222;ch12f222;ch11e222;ch10d222;ch09c222;ch08b222;ch07a222;boolean;;
specialist_throat;throat, nose and ear specialist;ch20m223;ch19l223;ch18k223;ch17j223;ch16i223;ch15h223;ch13g223;ch12f223;ch11e223;ch10d223;ch09c223;ch08b223;ch07a223;boolean;;
specialist_surgeon;surgeon;ch20m224;ch19l224;ch18k224;ch17j224;ch16i224;ch15h224;ch13g224;ch12f224;ch11e224;ch10d224;ch09c224;ch08b224;ch07a224;boolean;;
specialist_ortho;orthopedic surgeon;ch20m225;ch19l225;ch18k225;ch17j225;ch16i225;ch15h225;ch13g225;ch12f225;ch11e225;ch10d225;ch09c225;ch08b225;ch07a225;boolean;;
specialist_psychiatrist;psychiatrist;ch20m226;ch19l226;ch18k226;ch17j226;ch16i226;ch15h226;ch13g226;ch12f226;ch11e226;ch10d226;ch09c226;ch08b226;ch07a226;boolean;;
specialist_other;other specialist;ch20m227;ch19l227;ch18k227;ch17j227;ch16i227;ch15h227;ch13g227;ch12f227;ch11e227;ch10d227;ch09c227;ch08b227;ch07a227;boolean;;
specialist_none;no specialist;ch20m228;ch19l228;ch18k228;ch17j228;ch16i228;ch15h228;ch13g228;ch12f228;ch11e228;ch10d228;ch09c228;ch08b228;ch07a228;boolean;;
hospital;Did you spend any time in hospital or a clinic over the past 12 months?;ch20m229;ch19l229;ch18k229;ch17j229;ch16i229;ch15h229;ch13g229;ch12f229;ch11e229;ch10d229;ch09c229;ch08b229;ch07a229;boolean;;
hospital_time;How long did you spend in hospital the last time?;ch20m230;ch19l230;ch18k230;ch17j230;ch16i230;ch15h230;ch13g230;ch12f230;ch11e230;ch10d230;ch09c230;ch08b230;ch07a230;int;;
hospital_operation;Did you undergo an operation during this hospitalization?;ch20m231;ch19l231;ch18k231;ch17j231;ch16i231;ch15h231;ch13g231;ch12f231;ch11e231;ch10d231;ch09c231;ch08b231;ch07a231;boolean;;
sight_glasses;Do you usually wear (reading) glasses or contact lenses?;ch20m232;ch19l232;ch18k232;ch17j232;ch16i232;ch15h232;ch13g232;ch12f232;ch11e232;ch10d232;ch09c232;ch08b232;ch07a232;boolean;;
sight_quality;Is your eyesight [with (reading)glasses] ...;ch20m233;ch19l233;ch18k233;ch17j233;ch16i233;ch15h233;ch13g233;ch12f233;ch11e233;ch10d233;ch09c233;ch08b233;ch07a233;category;poor|reasonable|good|very good|excellent;True
hearing_aid;Do you usually wear a hearing aid?;ch20m234;ch19l234;ch18k234;ch17j234;ch16i234;ch15h234;ch13g234;ch12f234;ch11e234;ch10d234;ch09c234;ch08b234;ch07a234;boolean;;
hearing_quality;Is your hearing [with hearing aid/..] ...;ch20m235;ch19l235;ch18k235;ch17j235;ch16i235;ch15h235;ch13g235;ch12f235;ch11e235;ch10d235;ch09c235;ch08b235;ch07a235;category;poor|reasonable|good|very good|excellent;True
insurance_name; With which health insurer did you take out your basic health insurance per 1 Ja;;;ch18k262;ch17j262;ch16i262;ch15h262;ch13g262;ch12f236;ch11e236;ch10d236;ch09c236;ch08b236;ch07a236;object;;
insurance_name_other;With which health insurer did you take out your basic health insurance per 1 Jan;;;ch18k237;ch17j237;ch16i237;ch15h237;ch13g237;ch12f237;ch11e237;ch10d237;ch09c237;ch08b237;ch07a237;object;;
insurance_individual;Did you take out the health insurance individually or collectively?;;;ch18k238;ch17j238;ch16i238;ch15h238;ch13g238;ch12f238;ch11e238;ch10d238;ch09c238;ch08b238;ch07a238;category;individually|collectively;False
insurance_complement;Did you take out a complementary health insurance in 2016?;ch20m239;ch19l239;ch18k239;ch17j239;ch16i239;ch15h239;ch13g239;ch12f239;ch11e239;ch10d239;ch09c239;ch08b239;ch07a239;boolean;;
insurance_own_risk;How much, in euros, is your own risk in 2008?;ch20m260;ch19l260;ch18k260;ch17j260;ch16i260;ch15h260;ch13g260;ch12f260;ch11e260;ch10d260;ch09c260;ch08b240;ch07a240;category;0 euro|100 euros|200 euros|300 euros|400 euros|500 euros;True
premium_amount;How much premium do you pay in total per month for your health insurance?;;;;;;;;;;;;;ch07a241;int;;
date_fieldwork;year and month of fieldwork;ch20m_m;ch19l_m;ch18k_m;ch17j_m;ch16i_m;ch15h_m;ch13g_m;ch12f_m;ch11e_m;ch10d_m;ch09c_m;ch08b_m;ch07a_m;int;;
hh_id; Number of the household encrypted;;;;;;;;;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;int;;
personal_id;Number of household member encrypted;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;int;;
;preloaded variable: gender;ch20m001;ch19l001;ch18k001;ch17j001;ch16i001;ch15h001;ch13g001;ch12f001;ch11e001;ch10d001;ch09c001;ch08b001;;category;man|woman;False
;preloaded variable: age;ch20m002;ch19l002;ch18k002;ch17j002;ch16i002;ch15h002;ch13g002;ch12f002;ch11e002;ch10d002;ch09c002;ch08b002;;int;;
;preloaded variable: paid job or not;ch20m003;ch19l003;ch18k003;ch17j003;ch16i003;ch15h003;ch13g003;ch12f003;ch11e003;ch10d003;ch09c003;ch08b003;;category;has no paid job|has paid job;False
live_75;How would you rate your chance of living to be 75 years old or older?;ch20m006;ch19l006;ch18k006;ch17j006;ch16i006;ch15h006;ch13g006;ch12f006;ch11e006;ch10d006;ch09c006;ch08b006;;category;0|1|2|3|4|5|6|7|8|9|10;True
live_80;How would you rate your chance of living to be 80 years old or older?;ch20m007;ch19l007;ch18k007;ch17j007;ch16i007;ch15h007;ch13g007;ch12f007;ch11e007;ch10d007;ch09c007;ch08b007;;category;0|1|2|3|4|5|6|7|8|9|10;True
live_85;How would you rate your chance of living to be 85 years old or older?;ch20m008;ch19l008;ch18k008;ch17j008;ch16i008;ch15h008;ch13g008;ch12f008;ch11e008;ch10d008;ch09c008;ch08b008;;category;0|1|2|3|4|5|6|7|8|9|10;True
live_90;How would you rate your chance of living to be 90 years old or older?;ch20m009;ch19l009;ch18k009;ch17j009;ch16i009;ch15h009;ch13g009;ch12f009;ch11e009;ch10d009;ch09c009;ch08b009;;category;0|1|2|3|4|5|6|7|8|9|10;True
live_95;How would you rate your chance of living to be 95 years old or older?;ch20m010;ch19l010;ch18k010;ch17j010;ch16i010;ch15h010;ch13g010;ch12f010;ch11e010;ch10d010;ch09c010;ch08b010;;category;0|1|2|3|4|5|6|7|8|9|10;True
complaints_noise;Do you think you would have problems working in noisy environments?;;;;;;;ch13g059;ch12f059;ch11e059;ch10d059;ch09c059;ch08b059;;boolean;;
moment_sick;At this moment, do you go to work as normal, or do you not or only partly go to;ch20m100;ch19l100;ch18k100;ch17j100;ch16i100;ch15h100;ch13g100;ch12f100;ch11e100;ch10d100;ch09c100;ch08b100;;category;I work as normal (full-time or part-time)|I work, but on account of my health I do not work a full working week|I do not work on account of my health|I do not work for another reason|I work, but because of my health I do not work a full working week;False
out_years;For how long have you not been working:  number of years;ch20m268;ch19l268;;;;;;;;;;;;int;;
out_months;For how long have you not been working:  number of months;ch20m101;ch19l101;ch18k101;ch17j101;ch16i101;ch15h101;ch13g101;ch12f101;ch11e101;ch10d101;ch09c101;ch08b101;;int;;
out_weeks;For how long have you not been working:  number of weeks;ch20m102;ch19l102;ch18k102;ch17j102;ch16i102;ch15h102;ch13g102;ch12f102;ch11e102;ch10d102;ch09c102;ch08b102;;int;;
out_days;For how long have you not been working:  number of days;ch20m103;ch19l103;ch18k103;ch17j103;ch16i103;ch15h103;ch13g103;ch12f103;ch11e103;ch10d103;ch09c103;ch08b103;;int;;
moment_type;Can you indicate what kind of health problems or what kind of affliction you are;ch20m104;ch19l104;ch18k104;ch17j104;ch16i104;ch15h104;ch13g104;ch12f104;ch11e104;ch10d104;ch09c104;ch08b104;;category;normal flu, minor accident, sports injury or comparable|more serious physical complaints|non-physical complaints|both physical and non-physical complaints;False
problem_work;To what extent does your health trouble you in your work?;ch20m105;ch19l105;ch18k105;ch17j105;ch16i105;ch15h105;ch13g105;ch12f105;ch11e105;ch10d105;ch09c105;ch08b105;;category;I can do my work without any trouble|Doing my work causes me some trouble|Doing my work causes me a lot of trouble|I can no longer do my work at all;False
problem_other_work;Is there (other) paid work you could do that would cause you less or no trouble?;ch20m106;ch19l106;ch18k106;ch17j106;ch16i106;ch15h106;ch13g106;ch12f106;ch11e106;ch10d106;ch09c106;ch08b106;;category;There is (other) work in which my health would not cause me trouble|There is (other) work in which my health would cause me less trouble|My health would cause me just as much trouble in other work activities;False
problem_years;For how long have you been suffering from your health problems: number of years;ch20m107;ch19l107;ch18k107;ch17j107;ch16i107;ch15h107;ch13g107;ch12f107;ch11e107;ch10d107;ch09c107;ch08b107;;int;;
problem_months;For how long have you been suffering from your health problems: number of months;ch20m108;ch19l108;ch18k108;ch17j108;ch16i108;ch15h108;ch13g108;ch12f108;ch11e108;ch10d108;ch09c108;ch08b108;;int;;
problem_weeks;For how long have you been suffering from your health problems: number of weeks;ch20m109;ch19l109;ch18k109;ch17j109;ch16i109;ch15h109;ch13g109;ch12f109;ch11e109;ch10d109;ch09c109;ch08b109;;int;;
problem_days;For how long have you been suffering from your health problems: number of days;ch20m110;ch19l110;ch18k110;ch17j110;ch16i110;ch15h110;ch13g110;ch12f110;ch11e110;ch10d110;ch09c110;ch08b110;;int;;
cause_work;Were your health problems caused by the type of work activities of your current;ch20m111;ch19l111;ch18k111;ch17j111;ch16i111;ch15h111;ch13g111;ch12f111;ch11e111;ch10d111;ch09c111;ch08b111;;category;caused by work activities of my current job|caused by my former work activities|caused by both my current and former work activities|has nothing to do with my work;False
help_employer;Does your employer take your health problems into account;ch20m112;ch19l112;ch18k112;ch17j112;ch16i112;ch15h112;ch13g112;ch12f112;ch11e112;ch10d112;ch09c112;ch08b112;;boolean;;
type_help_employer1;In what way does your employer help you? - adaptation of my function;ch20m113;ch19l113;ch18k113;ch17j113;ch16i113;ch15h113;ch13g113;ch12f113;ch11e113;ch10d113;ch09c113;ch08b113;;boolean;;
type_help_employer2;In what way does your employer help you? - help in performing activities;ch20m114;ch19l114;ch18k114;ch17j114;ch16i114;ch15h114;ch13g114;ch12f114;ch11e114;ch10d114;ch09c114;ch08b114;;boolean;;
type_help_employer3;In what way does your employer help you? - adjusted working hours;ch20m115;ch19l115;ch18k115;ch17j115;ch16i115;ch15h115;ch13g115;ch12f115;ch11e115;ch10d115;ch09c115;ch08b115;;boolean;;
type_help_employer4;In what way does your employer help you? - more breaks;ch20m116;ch19l116;ch18k116;ch17j116;ch16i116;ch15h116;ch13g116;ch12f116;ch11e116;ch10d116;ch09c116;ch08b116;;boolean;;
type_help_employer5;In what way does your employer help you? - (help with) retraining;ch20m117;ch19l117;ch18k117;ch17j117;ch16i117;ch15h117;ch13g117;ch12f117;ch11e117;ch10d117;ch09c117;ch08b117;;boolean;;
type_help_employer6;In what way does your employer help you? - acquisition of special equipment;ch20m118;ch19l118;ch18k118;ch17j118;ch16i118;ch15h118;ch13g118;ch12f118;ch11e118;ch10d118;ch09c118;ch08b118;;boolean;;
type_help_employer7;In what way does your employer help you? - special means of transportation;ch20m119;ch19l119;ch18k119;ch17j119;ch16i119;ch15h119;ch13g119;ch12f119;ch11e119;ch10d119;ch09c119;ch08b119;;boolean;;
type_help_employer8;In what way does your employer help you? - other;ch20m120;ch19l120;ch18k120;ch17j120;ch16i120;ch15h120;ch13g120;ch12f120;ch11e120;ch10d120;ch09c120;ch08b120;;boolean;;
type_help_employer9;In what way does your employer help you?;ch20m121;ch19l121;ch18k121;ch17j121;ch16i121;ch15h121;ch13g121;ch12f121;ch11e121;ch10d121;ch09c121;ch08b121;;object;;
affect_partner_work;Has your health been reason for your partner to start working, to stop working,;;;ch18k122;ch17j122;ch16i122;ch15h122;ch13g122;ch12f122;ch11e122;ch10d122;ch09c122;ch08b122;;category;start working|stop working|start working more|start working less|nothing has changed;False
affect_child_work;Is there a child or are there children of yours who, for reason of your health,;;;;;;;ch13g123;ch12f123;ch11e123;ch10d123;ch09c123;ch08b123;;category;start working|stop working|start working more|start working less|nothing has changed;False
expect_temp;Do you expect that your health problems will be temporary?;;;ch18k124;ch17j124;ch16i124;ch15h124;ch13g124;ch12f124;ch11e124;ch10d124;ch09c124;ch08b124;;category;temporary, less than three months|three months or longer;True
smear_test;Have you had a smear test taken over the past five years?;;;ch18k204;ch17j204;ch16i204;ch15h204;ch13g204;ch12f204;ch11e204;ch10d204;ch09c204;ch08b204;;boolean;;
xray_breast;Have you had an X-ray taken of one or both breasts, over the past two years?;;;ch18k205;ch17j205;ch16i205;ch15h205;ch13g205;ch12f205;ch11e205;ch10d205;ch09c205;ch08b205;;boolean;;
premium_period;Per what period did you pay premiums for the health insurance in 2008?;;;ch18k261;ch17j261;ch16i261;ch15h261;ch13g261;ch12f261;ch11e261;ch10d261;ch09c261;ch08b244;;category;per month|per quarter|per half year|per year;True
premium_self;For whom do you pay the health insurance premiums for the basic policy? myself;;;ch18k245;ch17j245;ch16i245;ch15h245;ch13g245;ch12f245;ch11e245;ch10d245;ch09c245;ch08b245;;boolean;;
premium_partner;For whom do you pay the health insurance premiums for the basic policy? my partn;;;ch18k246;ch17j246;ch16i246;ch15h246;ch13g246;ch12f246;ch11e246;ch10d246;ch09c246;ch08b246;;boolean;;
premium_child;For whom do you pay the health insurance premiums for the basic policy? one or m;;;ch18k247;ch17j247;ch16i247;ch15h247;ch13g247;ch12f247;ch11e247;ch10d247;ch09c247;ch08b247;;boolean;;
premium_child_number;For how many children aged 18 and over do you pay the health insurance premiums;;;ch18k248;ch17j248;ch16i248;ch15h248;ch13g248;ch12f248;ch11e248;ch10d248;ch09c248;ch08b248;;int;;
premium_total;How much is the health insurance premium in total;;;ch18k249;ch17j249;ch16i249;ch15h249;ch13g249;ch12f249;ch11e249;ch10d249;ch09c249;ch08b249;;int;;
questionnaire_difficult;Was it difficult to answer the questions?;ch20m250;ch19l250;ch18k250;ch17j250;ch16i250;ch15h250;ch13g250;ch12f250;ch11e250;ch10d250;ch09c250;ch08b250;;float;;
questionnaire_clear;Were the questions sufficiently clear?;ch20m251;ch19l251;ch18k251;ch17j251;ch16i251;ch15h251;ch13g251;ch12f251;ch11e251;ch10d251;ch09c251;ch08b251;;float;;
questionnaire_thinking;Did the questionnaire get you thinking about things?;ch20m252;ch19l252;ch18k252;ch17j252;ch16i252;ch15h252;ch13g252;ch12f252;ch11e252;ch10d252;ch09c252;ch08b252;;float;;
questionnaire_interesting;Was it an interesting subject?;ch20m253;ch19l253;ch18k253;ch17j253;ch16i253;ch15h253;ch13g253;ch12f253;ch11e253;ch10d253;ch09c253;ch08b253;;float;;
questionnaire_enjoy;Did you enjoy answering the questions?;ch20m254;ch19l254;ch18k254;ch17j254;ch16i254;ch15h254;ch13g254;ch12f254;ch11e254;ch10d254;ch09c254;ch08b254;;float;;
