new_name;reference.period.other.than.survey.period;label_english;L_CoronavirusImpact_wave6_2p.dta;L_CoronavirusImpact_wave5_3p.dta;L_CoronavirusImpact_wave4_4p.dta;L_CoronavirusImpact_wave3_4p.dta;L_CoronavirusImpact_4.0p.dta;L_CoronavirusImpact_3p.dta;type;categories_english;ordered;topic_english;question_group
e_2021_hh_income;;;expinc2021_a_col2_a;expinc2021_a_col2_a;expinc2021_a_col2_a;;expinc2021_col2;;int;;;Finances;expectedincome
e_2022_hh_income;;;expinc2022_a_col2_a;expinc2022_a_col2_a;expinc2022_a_col2_a;;expinc2022_col2;;int;;;Finances;expectedincome
e_2020_unemp_rate_202002;202002;;;;;;ExpUnempl_before2020;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_before
e_2021_unemp_rate_202002;202002;;;;;;ExpUnempl_before2021;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_before
e_2022_unemp_rate_202002;202002;;;;;;ExpUnempl_before2022;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_before
e_2020_unemp_rate;;;ExpUnempl_today2020;ExpUnempl_today2020;;;ExpUnempl_today2020;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_today
e_2021_unemp_rate;;;ExpUnempl_today2021;ExpUnempl_today2021;;;ExpUnempl_today2021;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_today
e_2022_unemp_rate;;;ExpUnempl_today2022;ExpUnempl_today2022;;;ExpUnempl_today2022;;category;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;TRUE;Macro Expectations;ExpUnempl_today
e_2020_gdp_202002;202002;;;;;;ExpEcGr_before2020;;category;;;Macro Expectations;ExpEcGrowth_before
e_2021_gdp_202002;202002;;;;;;ExpEcGr_before2021;;category;;TRUE;Macro Expectations;ExpEcGrowth_before
e_2022_gdp_202002;202002;;;;;;ExpEcGr_before2022;;category;;TRUE;Macro Expectations;ExpEcGrowth_before
e_2020_gdp;;;ExpEcGr_today2020;ExpEcGr_today2020;;;ExpEcGr_today2020;;category;;TRUE;Macro Expectations;ExpEcGrowth_today
e_2021_gdp;;;ExpEcGr_today2021;ExpEcGr_today2021;;;ExpEcGr_today2021;;category;;TRUE;Macro Expectations;ExpEcGrowth_today
e_2022_gdp;;;ExpEcGr_today2022;ExpEcGr_today2022;;;ExpEcGr_today2022;;category;;TRUE;Macro Expectations;ExpEcGrowth_today
e_2020_infl_202002;202002;;;;;;ExpInfl_before2020;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_before
e_2021_infl_202002;202002;;;;;;ExpInfl_before2021;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_before
e_2022_infl_202002;202002;;;;;;ExpInfl_before2022;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_before
e_2020_infl;;;ExpInfl_today2020;ExpInfl_today2020;;;ExpInfl_today2020;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_today
e_2021_infl;;;ExpInfl_today2021;ExpInfl_today2021;;;ExpInfl_today2021;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_today
e_2022_infl;;;ExpInfl_today2022;ExpInfl_today2022;;;ExpInfl_today2022;;category;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;TRUE;Macro Expectations;ExpInfl_today
bought_or_sold_stocks;;;;;;;StockTrading;;category;I have no risky assets such as shares, corporate bonds, investments in investment funds, etc., at all.|I have risky assets, but have not made a purchase or sale.|I sold risky assets, but I didn't buy.|I bought risky assets, but I didn't sell.|I bought and sold risky assets.;FALSE;Macro Expectations;StockTrading
amount_stocks_bought;;;;;;;Stock3;;category;much less|less|roughly equal|more|much more;TRUE;Macro Expectations;Stock3
amount_stocks_sold;;;;;;;Stock4;;category;much less|less|roughly equal|more|much more;TRUE;Macro Expectations;Stock4
amount_stocks_bought_merge;;;;;;;Stock5;;category;much less|less|roughly equal|more|much more;TRUE;Macro Expectations;Stock5
amount_stocks_sold_merge;;;;;;;Stock6;;category;much less|less|roughly equal|more|much more;TRUE;Macro Expectations;Stock6
q_information_treatment;;;;;;;Q_InformationTreatment;;int;;;Memory Treatment;-
hist_perf_e1_nocheck;;;;;;;hist_perf_1_nocheck;;float;;;Memory Treatment;-
hist_perf_e3_nocheck;;;;;;;hist_perf_2_nocheck;;float;;;Memory Treatment;-
hist_perf_e2_nocheck;;;;;;;hist_perf_3_nocheck;;float;;;Memory Treatment;-
hist_perf_e1;;;;;;;hist_perf_1;;float;;;Memory Treatment;-
hist_perf_e3;;;;;;;hist_perf_2;;float;;;Memory Treatment;-
hist_perf_e2;;;;;;;hist_perf_3;;float;;;Memory Treatment;-
;;;;;;;hist_perf_totaal;;float;;;Memory Treatment;-
hist_perf_e0_nocheck;;;;;;;HistoricPerformance2;;float;;;skip;-
memory_str;;;;;;;Memory;;object;;;skip;-
forw_look_e1_nocheck;;;;;;;forw_look_1_nocheck;;float;;;Memory Treatment;-
forw_look_e3_nocheck;;;;;;;forw_look_2_nocheck;;float;;;Memory Treatment;-
forw_look_e2_nocheck;;;;;;;forw_look_3_nocheck;;float;;;Memory Treatment;-
forw_look_e1;;;;;;;forw_look_1;;float;;;Memory Treatment;-
forw_look_e3;;;;;;;forw_look_2;;float;;;Memory Treatment;-
forw_look_e2;;;;;;;forw_look_3;;float;;;Memory Treatment;-
;;;;;;;forw_look_totaal;;float;;;Memory Treatment;-
forw_look_e0_nocheck;e_;;;;;;ForwardLooking2;;float;;;Memory Treatment;-
p_1m_purchase_risky;;;;;;;AntReact1;;float;;;Memory Treatment;-
p_1m_sell_risky;;;;;;;AntReact2;;float;;;Memory Treatment;-
financial_decider;;;;account;account;;account;;bool;;;skip;-
nervous_month;;For the past month I felt very anxious;q30a_mnd;q30a_mnd;q30a_mnd;q30a_mnd;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30hd_maand
depressed_month;;For the past month  I felt so down that nothing could cheer me up;q30b_mdn;q30b_mnd;q30b_mnd;q30b_mdn;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30hd_maand
calm_month;;For the past month I felt calm and peaceful;q30c_mnd;q30c_mnd;q30c_mnd;q30c_mnd;;;category;never|rarely|sometimes|often|mostly|constantly;TRUE;Mental Health;q30hd_maand
gloomy_month;;For the past month I felt depressed and gloomy;q30d_mnd;q30d_mnd;q30d_mnd;q30d_mnd;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30hd_maand
happy_month;;For the past month I felt happy;q30e_mnd;q30e_mnd;q30e_mnd;q30e_mnd;;;category;never|rarely|sometimes|often|mostly|constantly;TRUE;Mental Health;q30hd_maand
health_comparison_6m;;Is your health better or worse than last November?;;;;SAH;;;category;much worse|a little worse|same|a little better|much better;TRUE;Health Beliefs;SAH
duration_restrictions_schools;;When do you think the restrictions that are now in place will no longer apply, and all schools are open again in a normal way;;;;duration1;;;category;by the end of June|between July and the end of August|between september and the end of the year|in 2021|in 2022 or later;TRUE;Expected Timespan;expectedduration
duration_restrictions_cafes;;When do you think the restrictions that are now in place will no longer apply, and cafes and restaurants are open again;;;;duration2;;;category;by the end of June|between July and the end of August|between september and the end of the year|in 2021|in 2022 or later;TRUE;Expected Timespan;expectedduration
duration_restrictions_holidays;;When do you think the restrictions that are now in place will no longer apply, and we can go on holiday again in almost all of Europe;;;;duration3;;;category;by the end of June|between July and the end of August|between september and the end of the year|in 2021|in 2022 or later;TRUE;Expected Timespan;expectedduration
duration_restrictions_econ;;When do you think the restrictions that are now in place will no longer apply, and all economic activities take place as before;;;;duration4;;;category;by the end of June|between July and the end of August|between september and the end of the year|in 2021|in 2022 or later;TRUE;Expected Timespan;expectedduration
work_status;;Which of the following options best describes your situation? If multiple options apply, choose the main activity or job.;EmploymentStatus;EmploymentStatus;EmploymentStatus;EmploymentStatus;;;category;homemaker|social assistance|employed|retired|student or trainee|unemployed|self-employed;FALSE;Employment;EmploymentStatus
day_off_leisure;;In the past seven days, how many days have you taken a day offf for leisure;vacsick1;vacsick1;;vacsick1;;;Int;;;Employment;vacsick
day_off_childcare;;In the past seven days, how many days have you to take care of the children;vacsick2;vacsick2;;vacsick2;;;Int;;;Employment;vacsick
day_off_other;;In the past seven days, how many days have you taken a day off for another reason;vacsick3;vacsick3;;vacsick3;;;Int;;;Employment;vacsick
day_off_sick;;In the past seven days, how many days have you reported sick;vacsick4;vacsick4;;vacsick4;;;Int;;;Employment;vacsick
day_off_official;;In the past seven days, how many days have you not worked because of an official day off;;;;vacsick5;;;Int;;;Employment;vacsick
work_perc_home;;What percentage of your normal work prior to the coronavirus outbreak can you do while working from home?;work_perc;;;work_perc;;;int;;;Employment;work_perc
employer_application_now;;To the best of your knowledge, has your employer submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;;q16a;;q16a;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, I don't think it's necessary|no, but I think my employer is gonna do this|no, I don't think it's possible|I don't know;FALSE;Policies;q16a
employer_application_togs;;To the best of your knowledge, has your employer submitted an application for the Covid-19 Entrepreneurs Affected Sectors Tegemoetkoming (TOGS)? The TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;;;;q16b;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, I don't think it's necessary|no, but I think my employer is gonna do this|no, I don't think it's possible|I don't know;FALSE;Policies;q16b
employer_application_deferral;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;;;;q16c;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, I don't think it's necessary|no, but I think my employer is gonna do this|no, I don't think it's possible|I don't know;FALSE;Policies;q16c
self_application_now;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;;q17a;;q17a;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, I have no employees/no payroll costs|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;FALSE;Policies;q17a
self_application_togs;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;;;;q17b;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, I have no employees/no payroll costs|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;FALSE;Policies;q17b
self_application_deferral;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;;;;q17c;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, I have no employees/no payroll costs|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;FALSE;Policies;q17c
self_application_tozo;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;;q17d;;q17d;;;category;yes, the application has been granted|yes, but the application was rejected|yes, but I don't yet know if the application has been granted|no, but I'm gonna do this|no, I don't think my company qualifies|no, my partner has too much income|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement;FALSE;Policies;q17d
self_grekening;;Did you use the unblocking of the g-account? A g-account is a blocked bank account and is intended for companies that lend out personnel. Money can only be transferred from this account to a special giro account number of the Tax and Customs Administration and to other g-accounts.;;;;q17e;;;category;yes|no, but I'm gonna do this|no, I don't think my company qualifies|no, this is too much paperwork|no, for another reason|I didn't know there was this arrangement|not applicable/I don't have a g-account;FALSE;Finances;q17e
self_used_apa;;Have you used an amendment provisional assessment?;;;;q17f_1;;;category;yes|no, but I'm gonna do this|no, I don't intend to|I didn't know there was this arrangement;FALSE;Finances;q17f_header
self_used_guarantee;;Have you used the extension of the guarantee for SMEs?;;;;q17f_2;;;category;yes|no, but I'm gonna do this|no, I don't intend to|I didn't know there was this arrangement;FALSE;Finances;q17f_header
self_used_go;;Have you used the Enterprise Guarantee Facility (GO)?;;;;q17f_3;;;category;yes|no, but I'm gonna do this|no, I don't intend to|I didn't know there was this arrangement;FALSE;Finances;q17f_header
self_used_qredits;;Have you used the Qredits?;;;;q17f_4;;;category;yes|no, but I'm gonna do this|no, I don't intend to|I didn't know there was this arrangement;FALSE;Finances;q17f_header
self_used_loan_fund;;Have you used the bridging loan fund for non-bank businesses?;;;;q17f_5;;;category;yes|no, but I'm gonna do this|no, I don't intend to|I didn't know there was this arrangement;FALSE;Finances;q17f_header
p_employer_application_now3;;How likely do you think that your employer will make use of the Emergency Measure Bridging Employment (NOW) 3.0, which applies from October?;;NOW_ES1;;;;;int;;;Policies;NOW_ES
p_self_application_now3;;How likely do you think it is that you will make use of the Emergency Measure Bridging Employment (NOW) 3.0, which applies from October?;;NOW_ES2;;;;;int;;;Policies;NOW_ES
p_self_application_tozo3;;How big do you think the chances are that you will make use of the Temporary bridging scheme for independent entrepreneurs (Tozo) 3.0, which applies from October?;;Tozo_ES2;;;;;int;;;Policies;Tozo_ES2
change_empl;;If you compare your situation to that before the coronavirus crisis, what situation applies to you now?;;change_empl;change_empl;change_empl;;;category;I have an employment contract with more hours|I have an employment contract with the same number of hours|I have an employment contract with fewer hours|my employer fired me, but the dismissal hasn't taken effect yet|other;FALSE;Finances;change_empl
change_selfempl;;If you compare your situation to that before the coronavirus crisis, what situation applies to you now?;;change_selfempl;change_selfempl;change_selfempl;;;category;my income is higher|my income is the same|my income is lower|I have filed for bankruptcy|other;FALSE;Finances;change_selfempl
change_unempl;;If you compare your situation to that before the coronavirus crisis, what situation applies to you now?;;change_unempl;;;;;category;I was unemployed before the crisis started|I have become unemployed because of the crisis|I became unemployed, not because of the crisis, but because of other reasons|other;FALSE;Finances;change_unempl
job_before;;Have you ever had a job?;;job_before;;;;;bool;;;Employment;job_before
work_change_because_corona;;Has your employment situation changed with the coronavirus outbreak?;;;q2;q2;;;bool;;;Finances;q2
month_lost_job;;In which month did your last job end?;;;q4_maand;q4_maand;;;category;January|February|March|April|May|June|July|August|September|October|November|December|I have never had a job;FALSE;Finances;q4_header
year_lost_job;;In which year did your last job end?;;;q4_jaar;q4_jaar;;;object;;;Finances;q4_header
workplace_pot_distance;;Can the work you do at your workplace be combined with the measure of keeping a distance of one and a half metres from other people?;;;;distance;;;category;very easy|easy|difficult|very difficult|non-combinable;TRUE;Employment;distance
e_retirement_202002;202002;What was / is your expected retirement age early march (before the coronavirus affected your work);;;;exp_pens_mrt;;;Int;;;Finances;exp_pens_hd
e_retirement;;What was / is your expected retirement age now?;;;;exp_pens_now;;;Int;;;Finances;exp_pens_hd
retire_early_reason;;Why do you expect to retire early now?;;;;pens_eerder;;;category;working longer now has more health risks|there is not enough work for me to go on any longer|work has become less important|to provide informal care|other;FALSE;Finances;pens_eerder
retire_later_reason;;Why do you expect to retire later now? Give you the main reason;;;;pens_later;;;category;I can't afford to quit sooner|my work has become more important|retiring is currently less attractive|other;FALSE;Finances;pens_later
p_year_employee_keep;;I keep my job because my employer / company is not financially affected by the coronavirus or is financially healthy enough to continue to pay wages;q26a_1;q26a_1;;q26a_1;;;int;;;Employment;q26
p_year_employee_keep_gov;;I keep my job because the government offers help to my employer / company (e.g. through an allowance for labour costs).;q26b_1;q26b_1;;q26b_1;;;int;;;Employment;q26
p_year_employee_new_job;;I have a new job with another employer;q26c_1;q26c_1;;q26c_1;;;int;;;Employment;q26
p_year_employee_unemployed;;I am unemployed / do not belong to the labour force anymore / retired / I have a disability pension;q26d_1;q26d_1;;q26d_1;;;int;;;Employment;q26
p_year_employee_other;;Something else happens;q26e_1;q26e_1;;q26e_1;;;int;;;Employment;q26
p_3m_selfempl_normal;;My business continues as before or even better than before the coronavirus crisis.;q27a;q27a;;q27a;;q27a;int;;;Employment;q27header
p_3m_selfempl_fewer;;My company will have less work than before the coronavirus crisis, but will not need government support.;q27b;q27b;;q27b;;q27b;int;;;Employment;q27header
p_3m_selfempl_helped_by_gov;;My company will have less work than before the coronavirus crisis and will survive only through government support (e.g. through the relaxation of tax deferrals or additional income support for livelihoods).;q27c;q27c;;q27c;;q27c;int;;;Employment;q27header
p_3m_selfempl_shutdown;;My company will have less work than before the coronavirus crisis and will have to close down;q27d;q27d;;q27d;;q27d;int;;;Employment;q27header
p_3m_selfempl_other;;Something else happens;q27e;q27e;;q27e;;q27e;int;;;Employment;q27header
p_year_selfempl_normal;;My business continues as before or even better than before the coronavirus crisis;q27a_1;q27a_1;;q27a_1;;;int;;;Employment;Q27header_1
p_year_selfempl_fewer;;My company will have less work than before the coronavirus crisis, but will not need government support;q27b_1;q27b_1;;q27b_1;;;int;;;Employment;Q27header_1
p_year_selfempl_helped_by_gov;;My company will have less work than before the coronavirus crisis and will survive only through government support (e.g. by relaxing tax deferrals or additional income support for livelihoods).;q27c_1;q27c_1;;q27c_1;;;int;;;Employment;Q27header_1
p_year_selfempl_shutdown;;My company will have less work than before the coronavirus crisis and will have to close down;q27d_1;q27d_1;;q27d_1;;;int;;;Employment;Q27header_1
p_year_selfempl_other;;Something else happens;q27e_1;q27e_1;;q27e_1;;;int;;;Employment;Q27header_1
p_3m_unemployed_job;;I�ve found a new job;q27a_ex;q27a_ex;;q27a_ex;;;int;;;Employment;q27header_unempl
p_3m_unemployed_educ;;I am in full-time education or continuing education;q27b_ex;q27b_ex;;q27b_ex;;;int;;;Employment;q27header_unempl
p_3m_unemployed_looking;;I�m not working then, but I�m looking for a new job;q27c_ex;q27c_ex;;q27c_ex;;;int;;;Employment;q27header_unempl
p_3m_unemployed_not_looking;;I�m not working then and I�m not looking for a new job;q27d_ex;q27d_ex;;q27d_ex;;;int;;;Employment;q27header_unempl
p_3m_unemployed_other;;Something else happens;q27e_ex;q27e_ex;;q27e_ex;;;int;;;Employment;q27header_unempl
p_year_unemployed_job;;I’ve found a new job;q27a_ex_1;q27a_ex_1;;;;;int;;;Employment;q27header_unempl_1
p_year_unemployed_educ;;I am in full-time education or continuing education;q27b_ex_1;q27b_ex_1;;;;;int;;;Employment;q27header_unempl_1
p_year_unemployed_looking;;I’m not working then, but I’m looking for a new job;q27c_ex_1;q27c_ex_1;;;;;int;;;Employment;q27header_unempl_1
p_year_unemployed_not_looking;;I’m not working then and I’m not looking for a new job;q27d_ex_1;q27d_ex_1;;;;;int;;;Employment;q27header_unempl_1
p_year_unemployed_other;;Something else happens;q27e_ex_1;q27e_ex_1;;;;;int;;;Employment;q27header_unempl_1
e_pension_cut;;How high do you estimate the chance that pensions will be cut next year? A pension fund must have enough assets to be able to pay the benefits of its members now and in the future. If the financial situation of your pension fund is bad, it is possible that your pension will be reduced.;;;;pens_gekort;;;category;zero|very small|small|not small nor big|large|very large|certain;TRUE;Finances;pens_gekort
e_amount_pension_cut;;How big do you think this discount will be for you, net in euros per month?;;;;korting;;;int;;;Finances;korting
activities_give_money;;I give more money to my children and/or grandchildren;;;;es4_st1;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_save_more;;I save more;;;;es4_st2;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_more_care;;I spend more time on informal care;;;;es4_st3;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_less_care;;I spend less time on informal care;;;;es4_st4;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_postpone_doctor;;I have postponed a visit to the family doctor;;;;es4_st5;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_postpone_hospital;;I postponed an appointment at the hospital;;;;es4_st6;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_postpone_pickup_meds;;I�ve postponed picking up medication;;;;es4_st7;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_less_physio;;I have used less physiotherapy;;;;es4_st8;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_move_less;;I move less;;;;es4_st9;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_eat_healthy;;I eat healthier;;;;es4_st10;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
activities_lonely;;I�m lonelier;;;;es4_st11;;;category;1 definitely not|2|3|4|5 certainly yes;TRUE;Behavior;es4_uitspraken
outside_no;;I haven�t been outside at all;;;;es4_doelen__1;;;bool;;;Behavior;es4_doelen
outside_garden;;I�ve only been outside in my own outdoor space (garden, balcony, etc.);;;;es4_doelen__2;;;bool;;;Behavior;es4_doelen
outside_shopping;;for doing necessary shopping;;;;es4_doelen__3;;;bool;;;Behavior;es4_doelen
outside_purchases;;for making other purchases;;;;es4_doelen__4;;;bool;;;Behavior;es4_doelen
outside_detour;;for taking a detour;;;;es4_doelen__5;;;bool;;;Behavior;es4_doelen
outside_contacts;;for social contacts (e.g. visits to friends, acquaintances, family);;;;es4_doelen__6;;;bool;;;Behavior;es4_doelen
outside_care;;for the provision of informal care;;;;es4_doelen__7;;;bool;;;Behavior;es4_doelen
outside_volunteering;;for volunteering;;;;es4_doelen__8;;;bool;;;Behavior;es4_doelen
outside_medical;;because urgent medical care was needed;;;;es4_doelen__9;;;bool;;;Behavior;es4_doelen
outside_other;;otherwise, namely�;;;;es4_doelen__10;;;bool;;;Behavior;es4_doelen
outside_other_str;;otherwise, namely�;;;;es4_doelen_str;;;object;;;Behavior;es4_doelen
have_children_prim_school;;Do you have (partially) home-housed children who are in primary or secondary school?;;;v0__1;v0__1;;;bool;;;Background;v0
have_children_sec_school;;Do you have (partially) home-housed children who are in primary or secondary school?;;;v0__2;v0__2;;;bool;;;Background;v0
no_children_prim_sec_school;;Do you have (partially) home-housed children who are in primary or secondary school?;;;v0__3;v0__3;;;bool;;;Background;v0
amount_children_primary;;How many of your children are in primary school? ;;;v0a;v0a;;;Int;;;Background;v0a
amount_children_sec;;How many of your kids are in secondary school?;;;v0b;v0b;;;Int;;;Background;v0b
first_primary_gender;;First Child Primary: Gender;;;v1_bo_kind1_geslacht;v1_bo_kind1_bogeslacht;;;category;Female|Male;FALSE;Background;v1_bo
first_primary_birth;;First Child Primary: Birthyear;;;v1_bo_kind1_gebjaar;v1_bo_kind1_bogebjaar;;;Int;;;Background;v1_bo
second_primary_gender;;Second Child Primary: Gender;;;v1_bo_kind2_geslacht;v1_bo_kind2_bogeslacht;;;category;Female|Male;FALSE;Background;v1_bo
second_primary_birth;;Second Child Primary: Birthyear;;;v1_bo_kind2_gebjaar;v1_bo_kind2_bogebjaar;;;Int;;;Background;v1_bo
third_primary_gender;;Third Child Primary: Gender;;;v1_bo_kind3_geslacht;v1_bo_kind3_bogeslacht;;;category;Female|Male;FALSE;Background;v1_bo
third_primary_birth;;Third Child Primary: Birthyear;;;v1_bo_kind3_gebjaar;v1_bo_kind3_bogebjaar;;;Int;;;Background;v1_bo
fourth_primary_gender;;Fourth Child Primary: Gender;;;v1_bo_kind4_geslacht;v1_bo_kind4_bogeslacht;;;category;Female|Male;FALSE;Background;v1_bo
fourth_primary_birth;;Fourth Child Primary: Birthyear;;;v1_bo_kind4_gebjaar;v1_bo_kind4_bogebjaar;;;Int;;;Background;v1_bo
fifth_primary_gender;;Fifth Child Primary: Gender;;;v1_bo_kind5_geslacht;v1_bo_kind5_bogeslacht;;;category;Female|Male;FALSE;Background;v1_bo
fifth_primary_birth;;Fifth Child Primary: Birthyear;;;v1_bo_kind5_gebjaar;v1_bo_kind5_bogebjaar;;;Int;;;Background;v1_bo
first_sec_gender;;First Child Secondary: Gender;;;v1_vo_kind1_geslacht;v1_vo_kind1_vogeslacht;;;category;Female|Male;FALSE;Background;v1_vo
first_sec_birth;;First Child Secondary: Birthyear;;;v1_vo_kind1_gebjaar;v1_vo_kind1_vogebjaar;;;Int;;;Background;v1_vo
first_sec_level;;First Child Secondary: Level;;;;v1_vo_kind1_voniveau;;;category;practical education|vmbo-basis|vmbo-kader|vmbo-t|vmbo/havo|havo|havo/vwo|vwo;FALSE;Background;v1_vo
first_sec_class;;First Child Secondary: Class;;;;v1_vo_kind1_voklas;;;category;1|2|3|4|5|6;TRUE;Background;v1_vo
second_sec_gender;;Second Child Secondary: Gender;;;v1_vo_kind2_geslacht;v1_vo_kind2_vogeslacht;;;category;Female|Male;FALSE;Background;v1_vo
second_sec_birth;;Second Child Secondary: Birthyear;;;v1_vo_kind2_gebjaar;v1_vo_kind2_vogebjaar;;;Int;;;Background;v1_vo
second_sec_level;;Second Child Secondary: Level;;;;v1_vo_kind2_voniveau;;;category;practical education|vmbo-basis|vmbo-kader|vmbo-t|vmbo/havo|havo|havo/vwo|vwo;FALSE;Background;v1_vo
second_sec_class;;Second Child Secondary: Class;;;;v1_vo_kind2_voklas;;;category;1|2|3|4|5|6;TRUE;Background;v1_vo
third_sec_gender;;Third Child Secondary: Gender;;;v1_vo_kind3_geslacht;v1_vo_kind3_vogeslacht;;;category;Female|Male;FALSE;Background;v1_vo
third_sec_birth;;Third Child Secondary: Birthyear;;;v1_vo_kind3_gebjaar;v1_vo_kind3_vogebjaar;;;Int;;;Background;v1_vo
third_sec_level;;Third Child Secondary: Level;;;;v1_vo_kind3_voniveau;;;category;practical education|vmbo-basis|vmbo-kader|vmbo-t|vmbo/havo|havo|havo/vwo|vwo;FALSE;Background;v1_vo
third_sec_class;;Third Child Secondary: Class;;;;v1_vo_kind3_voklas;;;category;1|2|3|4|5|6;TRUE;Background;v1_vo
fourth_sec_gender;;Fourth Child Secondary: Gender;;;v1_vo_kind4_geslacht;v1_vo_kind4_vogeslacht;;;category;Female|Male;FALSE;Background;v1_vo
fourth_sec_birth;;Fourth Child Secondary: Birthyear;;;v1_vo_kind4_gebjaar;v1_vo_kind4_vogebjaar;;;Int;;;Background;v1_vo
fourth_sec_level;;Fourth Child Secondary: Level;;;;v1_vo_kind4_voniveau;;;category;practical education|vmbo-basis|vmbo-kader|vmbo-t|vmbo/havo|havo|havo/vwo|vwo;FALSE;Background;v1_vo
